id,name,base_experience,height,weight,is_default,order
424,ambipom,169.0,12,203,True,286
425,drifloon,70.0,4,12,True,555
426,drifblim,174.0,12,150,True,556
427,buneary,70.0,4,55,True,557
428,lopunny,168.0,12,333,True,558
429,mismagius,173.0,9,44,True,296
430,honchkrow,177.0,9,273,True,294
431,glameow,62.0,5,39,True,560
432,purugly,158.0,10,438,True,561
433,chingling,57.0,2,6,True,476
434,stunky,66.0,4,192,True,562
435,skuntank,168.0,10,380,True,563
436,bronzor,60.0,5,605,True,564
437,bronzong,175.0,13,1870,True,565
438,bonsly,58.0,5,150,True,280
439,mime-jr,62.0,6,130,True,193
440,happiny,110.0,6,244,True,179
441,chatot,144.0,5,19,True,566
442,spiritomb,170.0,10,1080,True,567
443,gible,60.0,7,205,True,568
444,gabite,144.0,14,560,True,569
445,garchomp,300.0,19,950,True,570
446,munchlax,78.0,6,1050,True,234
447,riolu,57.0,7,202,True,572
448,lucario,184.0,12,540,True,573
449,hippopotas,66.0,8,495,True,575
450,hippowdon,184.0,20,3000,True,576
451,skorupi,66.0,8,120,True,577
452,drapion,175.0,13,615,True,578
453,croagunk,60.0,7,230,True,579
454,toxicroak,172.0,13,444,True,580
455,carnivine,159.0,14,270,True,581
456,finneon,66.0,4,70,True,582
457,lumineon,161.0,12,240,True,583
458,mantyke,69.0,10,650,True,326
459,snover,67.0,10,505,True,584
460,abomasnow,173.0,22,1355,True,585
461,weavile,179.0,11,340,True,313
462,magnezone,268.0,12,1800,True,134
463,lickilicky,180.0,17,1400,True,172
464,rhyperior,268.0,24,2828,True,178
465,tangrowth,187.0,20,1286,True,183
466,electivire,270.0,18,1386,True,203
467,magmortar,270.0,16,680,True,206
468,togekiss,273.0,15,380,True,270
469,yanmega,180.0,19,515,True,290
470,leafeon,184.0,10,255,True,222
471,glaceon,184.0,8,259,True,223
472,gliscor,179.0,20,425,True,305
473,mamoswine,265.0,25,2910,True,320
474,porygon-z,268.0,9,340,True,227
475,gallade,259.0,16,520,True,384
476,probopass,184.0,14,3400,True,402
477,dusknoir,263.0,22,1066,True,474
478,froslass,168.0,13,266,True,483
479,rotom,154.0,3,3,True,587
480,uxie,290.0,3,3,True,593
481,mesprit,290.0,3,3,True,594
482,azelf,290.0,3,3,True,595
483,dialga,340.0,54,6830,True,596
484,palkia,340.0,42,3360,True,597
485,heatran,300.0,17,4300,True,598
486,regigigas,335.0,37,4200,True,599
487,giratina-altered,340.0,45,7500,True,600
488,cresselia,300.0,15,856,True,602
489,phione,216.0,4,31,True,603
490,manaphy,270.0,3,14,True,604
491,darkrai,270.0,15,505,True,605
492,shaymin-land,270.0,2,21,True,606
493,arceus,324.0,32,3200,True,608
494,victini,300.0,4,40,True,609
495,snivy,62.0,6,81,True,610
496,servine,145.0,8,160,True,611
497,serperior,238.0,33,630,True,612
498,tepig,62.0,5,99,True,613
499,pignite,146.0,10,555,True,614
500,emboar,238.0,16,1500,True,615
501,oshawott,62.0,5,59,True,616
502,dewott,145.0,8,245,True,617
503,samurott,238.0,15,946,True,618
504,patrat,51.0,5,116,True,619
505,watchog,147.0,11,270,True,620
506,lillipup,55.0,4,41,True,621
507,herdier,130.0,9,147,True,622
508,stoutland,250.0,12,610,True,623
509,purrloin,56.0,4,101,True,624
510,liepard,156.0,11,375,True,625
511,pansage,63.0,6,105,True,626
512,simisage,174.0,11,305,True,627
513,pansear,63.0,6,110,True,628
514,simisear,174.0,10,280,True,629
515,panpour,63.0,6,135,True,630
516,simipour,174.0,10,290,True,631
517,munna,58.0,6,233,True,632
518,musharna,170.0,11,605,True,633
519,pidove,53.0,3,21,True,634
520,tranquill,125.0,6,150,True,635
521,unfezant,244.0,12,290,True,636
522,blitzle,59.0,8,298,True,637
523,zebstrika,174.0,16,795,True,638
524,roggenrola,56.0,4,180,True,639
525,boldore,137.0,9,1020,True,640
526,gigalith,258.0,17,2600,True,641
527,woobat,65.0,4,21,True,642
528,swoobat,149.0,9,105,True,643
529,drilbur,66.0,3,85,True,644
530,excadrill,178.0,7,404,True,645
531,audino,390.0,11,310,True,646
532,timburr,61.0,6,125,True,648
533,gurdurr,142.0,12,400,True,649
534,conkeldurr,253.0,14,870,True,650
535,tympole,59.0,5,45,True,651
536,palpitoad,134.0,8,170,True,652
537,seismitoad,255.0,15,620,True,653
538,throh,163.0,13,555,True,654
539,sawk,163.0,14,510,True,655
540,sewaddle,62.0,3,25,True,656
541,swadloon,133.0,5,73,True,657
542,leavanny,225.0,12,205,True,658
543,venipede,52.0,4,53,True,659
544,whirlipede,126.0,12,585,True,660
545,scolipede,243.0,25,2005,True,661
546,cottonee,56.0,3,6,True,662
547,whimsicott,168.0,7,66,True,663
548,petilil,56.0,5,66,True,664
549,lilligant,168.0,11,163,True,665
550,basculin-red-striped,161.0,10,180,True,666
551,sandile,58.0,7,152,True,668
552,krokorok,123.0,10,334,True,669
553,krookodile,260.0,15,963,True,670
554,darumaka,63.0,6,375,True,671
555,darmanitan-standard,168.0,13,929,True,673
556,maractus,161.0,10,280,True,677
557,dwebble,65.0,3,145,True,678
558,crustle,170.0,14,2000,True,679
559,scraggy,70.0,6,118,True,680
560,scrafty,171.0,11,300,True,681
561,sigilyph,172.0,14,140,True,682
562,yamask,61.0,5,15,True,683
563,cofagrigus,169.0,17,765,True,685
564,tirtouga,71.0,7,165,True,686
565,carracosta,173.0,12,810,True,687
566,archen,71.0,5,95,True,688
567,archeops,177.0,14,320,True,689
568,trubbish,66.0,6,310,True,690
569,garbodor,166.0,19,1073,True,691
570,zorua,66.0,7,125,True,692
571,zoroark,179.0,16,811,True,693
572,minccino,60.0,4,58,True,694
573,cinccino,165.0,5,75,True,695
574,gothita,58.0,4,58,True,696
575,gothorita,137.0,7,180,True,697
576,gothitelle,245.0,15,440,True,698
577,solosis,58.0,3,10,True,699
578,duosion,130.0,6,80,True,700
579,reuniclus,245.0,10,201,True,701
580,ducklett,61.0,5,55,True,702
581,swanna,166.0,13,242,True,703
582,vanillite,61.0,4,57,True,704
583,vanillish,138.0,11,410,True,705
584,vanilluxe,268.0,13,575,True,706
585,deerling,67.0,6,195,True,707
586,sawsbuck,166.0,19,925,True,708
587,emolga,150.0,4,50,True,709
588,karrablast,63.0,5,59,True,710
589,escavalier,173.0,10,330,True,711
590,foongus,59.0,2,10,True,712
591,amoonguss,162.0,6,105,True,713
592,frillish,67.0,12,330,True,714
593,jellicent,168.0,22,1350,True,715
594,alomomola,165.0,12,316,True,716
595,joltik,64.0,1,6,True,717
596,galvantula,165.0,8,143,True,718
597,ferroseed,61.0,6,188,True,719
598,ferrothorn,171.0,10,1100,True,720
599,klink,60.0,3,210,True,721
600,klang,154.0,6,510,True,722
601,klinklang,260.0,6,810,True,723
602,tynamo,55.0,2,3,True,724
603,eelektrik,142.0,12,220,True,725
604,eelektross,232.0,21,805,True,726
605,elgyem,67.0,5,90,True,727
606,beheeyem,170.0,10,345,True,728
607,litwick,55.0,3,31,True,729
608,lampent,130.0,6,130,True,730
609,chandelure,260.0,10,343,True,731
610,axew,64.0,6,180,True,732
611,fraxure,144.0,10,360,True,733
612,haxorus,270.0,18,1055,True,734
613,cubchoo,61.0,5,85,True,735
614,beartic,177.0,26,2600,True,736
615,cryogonal,180.0,11,1480,True,737
616,shelmet,61.0,4,77,True,738
617,accelgor,173.0,8,253,True,739
618,stunfisk,165.0,7,110,True,740
619,mienfoo,70.0,9,200,True,742
620,mienshao,179.0,14,355,True,743
621,druddigon,170.0,16,1390,True,744
622,golett,61.0,10,920,True,745
623,golurk,169.0,28,3300,True,746
624,pawniard,68.0,5,102,True,747
625,bisharp,172.0,16,700,True,748
626,bouffalant,172.0,16,946,True,749
627,rufflet,70.0,5,105,True,750
628,braviary,179.0,15,410,True,751
629,vullaby,74.0,5,90,True,752
630,mandibuzz,179.0,12,395,True,753
631,heatmor,169.0,14,580,True,754
632,durant,169.0,3,330,True,755
633,deino,60.0,8,173,True,756
634,zweilous,147.0,14,500,True,757
635,hydreigon,300.0,18,1600,True,758
636,larvesta,72.0,11,288,True,759
637,volcarona,275.0,16,460,True,760
638,cobalion,290.0,21,2500,True,761
639,terrakion,290.0,19,2600,True,762
640,virizion,290.0,20,2000,True,763
641,tornadus-incarnate,290.0,15,630,True,764
642,thundurus-incarnate,290.0,15,610,True,766
643,reshiram,340.0,32,3300,True,768
644,zekrom,340.0,29,3450,True,769
645,landorus-incarnate,300.0,15,680,True,770
646,kyurem,330.0,30,3250,True,772
647,keldeo-ordinary,290.0,14,485,True,775
648,meloetta-aria,270.0,6,65,True,777
649,genesect,300.0,15,825,True,779
650,chespin,63.0,4,90,True,780
651,quilladin,142.0,7,290,True,781
652,chesnaught,239.0,16,900,True,782
653,fennekin,61.0,4,94,True,783
654,braixen,143.0,10,145,True,784
655,delphox,240.0,15,390,True,785
656,froakie,63.0,3,70,True,786
657,frogadier,142.0,6,109,True,787
658,greninja,239.0,15,400,True,788
659,bunnelby,47.0,4,50,True,791
660,diggersby,148.0,10,424,True,792
661,fletchling,56.0,3,17,True,793
662,fletchinder,134.0,7,160,True,794
663,talonflame,175.0,12,245,True,795
664,scatterbug,40.0,3,25,True,796
665,spewpa,75.0,3,84,True,797
666,vivillon,185.0,12,170,True,798
667,litleo,74.0,6,135,True,799
668,pyroar,177.0,15,815,True,800
669,flabebe,61.0,1,1,True,801
670,floette,130.0,2,9,True,802
671,florges,248.0,11,100,True,804
672,skiddo,70.0,9,310,True,805
673,gogoat,186.0,17,910,True,806
674,pancham,70.0,6,80,True,807
675,pangoro,173.0,21,1360,True,808
676,furfrou,165.0,12,280,True,809
677,espurr,71.0,3,35,True,810
678,meowstic-male,163.0,6,85,True,811
679,honedge,65.0,8,20,True,813
680,doublade,157.0,8,45,True,814
681,aegislash-shield,250.0,17,530,True,815
682,spritzee,68.0,2,5,True,817
683,aromatisse,162.0,8,155,True,818
684,swirlix,68.0,4,35,True,819
685,slurpuff,168.0,8,50,True,820
686,inkay,58.0,4,35,True,821
687,malamar,169.0,15,470,True,822
688,binacle,61.0,5,310,True,823
689,barbaracle,175.0,13,960,True,824
690,skrelp,64.0,5,73,True,825
691,dragalge,173.0,18,815,True,826
692,clauncher,66.0,5,83,True,827
693,clawitzer,100.0,13,353,True,828
694,helioptile,58.0,5,60,True,829
695,heliolisk,168.0,10,210,True,830
696,tyrunt,72.0,8,260,True,831
697,tyrantrum,182.0,25,2700,True,832
698,amaura,72.0,13,252,True,833
699,aurorus,104.0,27,2250,True,834
700,sylveon,184.0,10,235,True,224
701,hawlucha,175.0,8,215,True,835
702,dedenne,151.0,2,22,True,836
703,carbink,100.0,3,57,True,837
704,goomy,60.0,3,28,True,838
705,sliggoo,158.0,8,175,True,839
706,goodra,300.0,20,1505,True,840
707,klefki,165.0,2,30,True,841
708,phantump,62.0,4,70,True,842
709,trevenant,166.0,15,710,True,843
710,pumpkaboo-average,67.0,4,50,True,844
711,gourgeist-average,173.0,9,125,True,848
712,bergmite,61.0,10,995,True,852
713,avalugg,180.0,20,5050,True,853
714,noibat,49.0,5,80,True,854
715,noivern,187.0,15,850,True,855
716,xerneas,340.0,30,2150,True,856
717,yveltal,340.0,58,2030,True,857
718,zygarde-50,300.0,50,3050,True,858
719,diancie,300.0,7,88,True,863
720,hoopa,270.0,5,90,True,865
721,volcanion,300.0,17,1950,True,867
722,rowlet,64.0,3,15,True,868
723,dartrix,147.0,7,160,True,869
724,decidueye,265.0,16,366,True,870
725,litten,64.0,4,43,True,871
726,torracat,147.0,7,250,True,872
727,incineroar,265.0,18,830,True,873
728,popplio,64.0,4,75,True,874
729,brionne,147.0,6,175,True,875
730,primarina,265.0,18,440,True,876
731,pikipek,53.0,3,12,True,877
732,trumbeak,124.0,6,148,True,878
733,toucannon,218.0,11,260,True,879
734,yungoos,51.0,4,60,True,880
735,gumshoos,146.0,7,142,True,881
736,grubbin,60.0,4,44,True,883
737,charjabug,140.0,5,105,True,884
738,vikavolt,250.0,15,450,True,885
