"unique_id","pokemon_id","hp","attack","defense","special_attack","special_defense","speed","total_stats"
392,392,76,104,71,104,71,108,534
393,393,53,51,53,61,56,40,314
394,394,64,66,68,81,76,50,405
395,395,84,86,88,111,101,60,530
396,396,40,55,30,30,30,60,245
397,397,55,75,50,40,40,80,340
398,398,85,120,70,50,60,100,485
399,399,59,45,40,35,40,31,250
400,400,79,85,60,55,60,71,410
401,401,37,25,41,25,41,25,194
402,402,77,85,51,55,51,65,384
403,403,45,65,34,40,34,45,263
404,404,60,85,49,60,49,60,363
405,405,80,120,79,95,79,70,523
406,406,40,30,35,50,70,55,280
407,407,60,70,65,125,105,90,515
408,408,67,125,40,30,30,58,350
409,409,97,165,60,65,50,58,495
410,410,30,42,118,42,88,30,350
411,411,60,52,168,47,138,30,495
412,412,40,29,45,29,45,36,224
413,413,60,59,85,79,105,36,424
414,414,70,94,50,94,50,66,424
415,415,30,30,42,30,42,70,244
416,416,70,80,102,80,102,40,474
417,417,60,45,70,45,90,95,405
418,418,55,65,35,60,30,85,330
419,419,85,105,55,85,50,115,495
420,420,45,35,45,62,53,35,275
421,421,70,60,70,87,78,85,450
422,422,76,48,48,57,62,34,325
423,423,111,83,68,92,82,39,475
424,424,75,100,66,60,66,115,482
425,425,90,50,34,60,44,70,348
426,426,150,80,44,90,54,80,498
427,427,55,66,44,44,56,85,350
428,428,65,76,84,54,96,105,480
429,429,60,60,60,105,105,105,495
430,430,100,125,52,105,52,71,505
431,431,49,55,42,42,37,85,310
432,432,71,82,64,64,59,112,452
433,433,45,30,50,65,50,45,285
434,434,63,63,47,41,41,74,329
435,435,103,93,67,71,61,84,479
436,436,57,24,86,24,86,23,300
437,437,67,89,116,79,116,33,500
438,438,50,80,95,10,45,10,290
439,439,20,25,45,70,90,60,310
440,440,100,5,5,15,65,30,220
441,441,76,65,45,92,42,91,411
442,442,50,92,108,92,108,35,485
443,443,58,70,45,40,45,42,300
444,444,68,90,65,50,55,82,410
445,445,108,130,95,80,85,102,600
446,446,135,85,40,40,85,5,390
447,447,40,70,40,35,40,60,285
448,448,70,110,70,115,70,90,525
449,449,68,72,78,38,42,32,330
450,450,108,112,118,68,72,47,525
451,451,40,50,90,30,55,65,330
452,452,70,90,110,60,75,95,500
453,453,48,61,40,61,40,50,300
454,454,83,106,65,86,65,85,490
455,455,74,100,72,90,72,46,454
456,456,49,49,56,49,61,66,330
457,457,69,69,76,69,86,91,460
458,458,45,20,50,60,120,50,345
459,459,60,62,50,62,60,40,334
460,460,90,92,75,92,85,60,494
461,461,70,120,65,45,85,125,510
462,462,70,70,115,130,90,60,535
463,463,110,85,95,80,95,50,515
464,464,115,140,130,55,55,40,535
465,465,100,100,125,110,50,50,535
466,466,75,123,67,95,85,95,540
467,467,75,95,67,125,95,83,540
468,468,85,50,95,120,115,80,545
469,469,86,76,86,116,56,95,515
470,470,65,110,130,60,65,95,525
471,471,65,60,110,130,95,65,525
472,472,75,95,125,45,75,95,510
473,473,110,130,80,70,60,80,530
474,474,85,80,70,135,75,90,535
475,475,68,125,65,65,115,80,518
476,476,60,55,145,75,150,40,525
477,477,45,100,135,65,135,45,525
478,478,70,80,70,80,70,110,480
479,479,50,50,77,95,77,91,440
480,480,75,75,130,75,130,95,580
481,481,80,105,105,105,105,80,580
482,482,75,125,70,125,70,115,580
483,483,100,120,120,150,100,90,680
484,484,90,120,100,150,120,100,680
485,485,91,90,106,130,106,77,600
486,486,110,160,110,80,110,100,670
487,487,150,100,120,100,120,90,680
488,488,120,70,110,75,120,85,580
489,489,80,80,80,80,80,80,480
490,490,100,100,100,100,100,100,600
491,491,70,90,90,135,90,125,600
492,492,100,100,100,100,100,100,600
493,493,120,120,120,120,120,120,720
494,494,100,100,100,100,100,100,600
495,495,45,45,55,45,55,63,308
496,496,60,60,75,60,75,83,413
497,497,75,75,95,75,95,113,528
498,498,65,63,45,45,45,45,308
499,499,90,93,55,70,55,55,418
500,500,110,123,65,100,65,65,528
501,501,55,55,45,63,45,45,308
502,502,75,75,60,83,60,60,413
503,503,95,100,85,108,70,70,528
504,504,45,55,39,35,39,42,255
505,505,60,85,69,60,69,77,420
506,506,45,60,45,25,45,55,275
507,507,65,80,65,35,65,60,370
508,508,85,110,90,45,90,80,500
509,509,41,50,37,50,37,66,281
510,510,64,88,50,88,50,106,446
511,511,50,53,48,53,48,64,316
512,512,75,98,63,98,63,101,498
513,513,50,53,48,53,48,64,316
514,514,75,98,63,98,63,101,498
515,515,50,53,48,53,48,64,316
516,516,75,98,63,98,63,101,498
517,517,76,25,45,67,55,24,292
518,518,116,55,85,107,95,29,487
519,519,50,55,50,36,30,43,264
520,520,62,77,62,50,42,65,358
521,521,80,115,80,65,55,93,488
522,522,45,60,32,50,32,76,295
523,523,75,100,63,80,63,116,497
524,524,55,75,85,25,25,15,280
525,525,70,105,105,50,40,20,390
526,526,85,135,130,60,80,25,515
527,527,65,45,43,55,43,72,323
528,528,67,57,55,77,55,114,425
529,529,60,85,40,30,45,68,328
530,530,110,135,60,50,65,88,508
531,531,103,60,86,60,86,50,445
532,532,75,80,55,25,35,35,305
533,533,85,105,85,40,50,40,405
534,534,105,140,95,55,65,45,505
535,535,50,50,40,50,40,64,294
536,536,75,65,55,65,55,69,384
537,537,105,95,75,85,75,74,509
538,538,120,100,85,30,85,45,465
539,539,75,125,75,30,75,85,465
540,540,45,53,70,40,60,42,310
541,541,55,63,90,50,80,42,380
542,542,75,103,80,70,80,92,500
543,543,30,45,59,30,39,57,260
544,544,40,55,99,40,79,47,360
545,545,60,100,89,55,69,112,485
546,546,40,27,60,37,50,66,280
547,547,60,67,85,77,75,116,480
548,548,45,35,50,70,50,30,280
549,549,70,60,75,110,75,90,480
550,550,70,92,65,80,55,98,460
551,551,50,72,35,35,35,65,292
552,552,60,82,45,45,45,74,351
553,553,95,117,80,65,70,92,519
554,554,70,90,45,15,45,50,315
555,555,105,140,55,30,55,95,480
556,556,75,86,67,106,67,60,461
557,557,50,65,85,35,35,55,325
558,558,70,105,125,65,75,45,485
559,559,50,75,70,35,70,48,348
560,560,65,90,115,45,115,58,488
561,561,72,58,80,103,80,97,490
562,562,38,30,85,55,65,30,303
563,563,58,50,145,95,105,30,483
564,564,54,78,103,53,45,22,355
565,565,74,108,133,83,65,32,495
566,566,55,112,45,74,45,70,401
567,567,75,140,65,112,65,110,567
568,568,50,50,62,40,62,65,329
569,569,80,95,82,60,82,75,474
570,570,40,65,40,80,40,65,330
571,571,60,105,60,120,60,105,510
572,572,55,50,40,40,40,75,300
573,573,75,95,60,65,60,115,470
574,574,45,30,50,55,65,45,290
575,575,60,45,70,75,85,55,390
576,576,70,55,95,95,110,65,490
577,577,45,30,40,105,50,20,290
578,578,65,40,50,125,60,30,370
579,579,110,65,75,125,85,30,490
580,580,62,44,50,44,50,55,305
581,581,75,87,63,87,63,98,473
582,582,36,50,50,65,60,44,305
583,583,51,65,65,80,75,59,395
584,584,71,95,85,110,95,79,535
585,585,60,60,50,40,50,75,335
586,586,80,100,70,60,70,95,475
587,587,55,75,60,75,60,103,428
588,588,50,75,45,40,45,60,315
589,589,70,135,105,60,105,20,495
590,590,69,55,45,55,55,15,294
591,591,114,85,70,85,80,30,464
592,592,55,40,50,65,85,40,335
593,593,100,60,70,85,105,60,480
594,594,165,75,80,40,45,65,470
595,595,50,47,50,57,50,65,319
596,596,70,77,60,97,60,108,472
597,597,44,50,91,24,86,10,305
598,598,74,94,131,54,116,20,489
599,599,40,55,70,45,60,30,300
600,600,60,80,95,70,85,50,440
601,601,60,100,115,70,85,90,520
602,602,35,55,40,45,40,60,275
603,603,65,85,70,75,70,40,405
604,604,85,115,80,105,80,50,515
605,605,55,55,55,85,55,30,335
606,606,75,75,75,125,95,40,485
607,607,50,30,55,65,55,20,275
608,608,60,40,60,95,60,55,370
609,609,60,55,90,145,90,80,520
610,610,46,87,60,30,40,57,320
611,611,66,117,70,40,50,67,410
612,612,76,147,90,60,70,97,540
613,613,55,70,40,60,40,40,305
614,614,95,130,80,70,80,50,505
615,615,80,50,50,95,135,105,515
616,616,50,40,85,40,65,25,305
617,617,80,70,40,100,60,145,495
618,618,109,66,84,81,99,32,471
619,619,45,85,50,55,50,65,350
620,620,65,125,60,95,60,105,510
621,621,77,120,90,60,90,48,485
622,622,59,74,50,35,50,35,303
623,623,89,124,80,55,80,55,483
624,624,45,85,70,40,40,60,340
625,625,65,125,100,60,70,70,490
626,626,95,110,95,40,95,55,490
627,627,70,83,50,37,50,60,350
628,628,100,123,75,57,75,80,510
629,629,70,55,75,45,65,60,370
630,630,110,65,105,55,95,80,510
631,631,85,97,66,105,66,65,484
632,632,58,109,112,48,48,109,484
633,633,52,65,50,45,50,38,300
634,634,72,85,70,65,70,58,420
635,635,92,105,90,125,90,98,600
636,636,55,85,55,50,55,60,360
637,637,85,60,65,135,105,100,550
638,638,91,90,129,90,72,108,580
639,639,91,129,90,72,90,108,580
640,640,91,90,72,90,129,108,580
641,641,79,115,70,125,80,111,580
642,642,79,115,70,125,80,111,580
643,643,100,120,100,150,120,90,680
644,644,100,150,120,120,100,90,680
645,645,89,125,90,115,80,101,600
646,646,125,130,90,130,90,95,660
647,647,91,72,90,129,90,108,580
648,648,100,77,77,128,128,90,600
649,649,71,120,95,120,95,99,600
650,650,56,61,65,48,45,38,313
651,651,61,78,95,56,58,57,405
652,652,88,107,122,74,75,64,530
653,653,40,45,40,62,60,60,307
654,654,59,59,58,90,70,73,409
655,655,75,69,72,114,100,104,534
656,656,41,56,40,62,44,71,314
657,657,54,63,52,83,56,97,405
658,658,72,95,67,103,71,122,530
659,659,38,36,38,32,36,57,237
660,660,85,56,77,50,77,78,423
661,661,45,50,43,40,38,62,278
662,662,62,73,55,56,52,84,382
663,663,78,81,71,74,69,126,499
664,664,38,35,40,27,25,35,200
665,665,45,22,60,27,30,29,213
666,666,80,52,50,90,50,89,411
667,667,62,50,58,73,54,72,369
668,668,86,68,72,109,66,106,507
669,669,44,38,39,61,79,42,303
670,670,54,45,47,75,98,52,371
671,671,78,65,68,112,154,75,552
672,672,66,65,48,62,57,52,350
673,673,123,100,62,97,81,68,531
674,674,67,82,62,46,48,43,348
675,675,95,124,78,69,71,58,495
676,676,75,80,60,65,90,102,472
677,677,62,48,54,63,60,68,355
678,678,74,48,76,83,81,104,466
679,679,45,80,100,35,37,28,325
680,680,59,110,150,45,49,35,448
681,681,60,50,140,50,140,60,500
682,682,78,52,60,63,65,23,341
683,683,101,72,72,99,89,29,462
684,684,62,48,66,59,57,49,341
685,685,82,80,86,85,75,72,480
686,686,53,54,53,37,46,45,288
687,687,86,92,88,68,75,73,482
688,688,42,52,67,39,56,50,306
689,689,72,105,115,54,86,68,500
690,690,50,60,60,60,60,30,320
691,691,65,75,90,97,123,44,494
692,692,50,53,62,58,63,44,330
693,693,71,73,88,120,89,59,500
694,694,44,38,33,61,43,70,289
695,695,62,55,52,109,94,109,481
696,696,58,89,77,45,45,48,362
697,697,82,121,119,69,59,71,521
698,698,77,59,50,67,63,46,362
699,699,123,77,72,99,92,58,521
700,700,95,65,65,110,130,60,525
701,701,78,92,75,74,63,118,500
702,702,67,58,57,81,67,101,431
703,703,50,50,150,50,150,50,500
704,704,45,50,35,55,75,40,300
705,705,68,75,53,83,113,60,452
706,706,90,100,70,110,150,80,600
707,707,57,80,91,80,87,75,470
708,708,43,70,48,50,60,38,309
709,709,85,110,76,65,82,56,474
710,710,49,66,70,44,55,51,335
711,711,65,90,122,58,75,84,494
712,712,55,69,85,32,35,28,304
713,713,95,117,184,44,46,28,514
714,714,40,30,35,45,40,55,245
715,715,85,70,80,97,80,123,535
716,716,126,131,95,131,98,99,680
717,717,126,131,95,131,98,99,680
718,718,108,100,121,81,95,95,600
719,719,50,100,150,100,150,50,600
720,720,80,110,60,150,130,70,600
721,721,80,110,120,130,90,70,600
722,722,68,55,55,50,50,42,320
723,723,78,75,75,70,70,52,420
724,724,78,107,75,100,100,70,530
725,725,45,65,40,60,40,70,320
726,726,65,85,50,80,50,90,420
727,727,95,115,90,80,90,60,530
728,728,50,54,54,66,56,40,320
729,729,60,69,69,91,81,50,420
730,730,80,74,74,126,116,60,530
731,731,35,75,30,30,30,65,265
732,732,55,85,50,40,50,75,355
733,733,80,120,75,75,75,60,485
734,734,48,70,30,30,30,45,253
735,735,88,110,60,55,60,45,418
736,736,47,62,45,55,45,46,300
737,737,57,82,95,55,75,36,400
738,738,77,70,90,145,75,43,500
739,739,47,82,57,42,47,63,338
740,740,97,132,77,62,67,43,478
741,741,75,70,70,98,70,93,476
742,742,40,45,40,55,40,84,304
743,743,60,55,60,95,70,124,464
744,744,45,65,40,30,40,60,280
745,745,75,115,65,55,65,112,487
746,746,45,20,20,25,25,40,175
747,747,50,53,62,43,52,45,305
748,748,50,63,152,53,142,35,495
749,749,70,100,70,45,55,45,385
750,750,100,125,100,55,85,35,500
751,751,38,40,52,40,72,27,269
752,752,68,70,92,50,132,42,454
753,753,40,55,35,50,35,35,250
754,754,70,105,90,80,90,45,480
755,755,40,35,55,65,75,15,285
756,756,60,45,80,90,100,30,405
757,757,48,44,40,71,40,77,320
758,758,68,64,60,111,60,117,480
759,759,70,75,50,45,50,50,340
760,760,120,125,80,55,60,60,500
761,761,42,30,38,30,38,32,210
762,762,52,40,48,40,48,62,290
763,763,72,120,98,50,98,72,510
764,764,51,52,90,82,110,100,485
765,765,90,60,80,90,110,60,490
766,766,100,120,90,40,60,80,490
767,767,25,35,40,20,30,80,230
768,768,75,125,140,60,90,40,530
769,769,55,55,80,70,45,15,320
770,770,85,75,110,100,75,35,480
771,771,55,60,130,30,130,5,410
772,772,95,95,95,95,95,59,534
773,773,95,95,95,95,95,95,570
