species_id,flavor_text,language,version
2,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon.",en,omega-ruby
2,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon.",en,alpha-sapphire
2,"The bud on its back grows by drawing energy. It
gives off an aroma when it is ready to bloom.",en,lets-go-pikachu
2,"The bud on its back grows by drawing energy. It
gives off an aroma when it is ready to bloom.",en,lets-go-eevee
2,"When the bulb on its back grows large, it
appears to lose the ability to stand on its
hind legs.",en,sword
2,"Exposure to sunlight adds to its strength.
Sunlight also makes the bud on its back
grow larger.",en,shield
3,"The plant blooms
when it is
absorbing solarenergy. It stays
on the move to
seek sunlight.",en,red
3,"The plant blooms
when it is
absorbing solarenergy. It stays
on the move to
seek sunlight.",en,blue
3,"The flower on its
back catches the
sun's rays.The sunlight is
then absorbed and
used for energy.",en,yellow
3,"By spreading the
broad petals of
its flower andcatching the sun's
rays, it fills its
body with power.",en,gold
3,"It is able to con­
vert sunlight into
energy. As aresult, it is more
powerful in the
summertime.",en,silver
3,"As it warms it­
self and absorbs
the sunlight, itsflower petals
release a pleasant
fragrance.",en,crystal
3,"There is a large flower on VENUSAUR’s
back. The flower is said to take on vivid
colors if it gets plenty of nutritionand sunlight. The flower’s aroma
soothes the emotions of people.",en,ruby
3,"There is a large flower on VENUSAUR’s
back. The flower is said to take on vivid
colors if it gets plenty of nutritionand sunlight. The flower’s aroma
soothes the emotions of people.",en,sapphire
3,"VENUSAUR’s flower is said to take on vivid
colors if it gets plenty of nutrition and
sunlight. The flower’s aroma soothes the
emotions of people.",en,emerald
3,"A bewitching aroma wafts from its flower.
The fragrance becalms those engaged in
a battle.",en,firered
3,"Its plant blooms when it is absorbing
solar energy. It stays on the move to
seek sunlight.",en,leafgreen
3,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon.",en,diamond
3,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon.",en,pearl
3,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon.",en,platinum
3,"By spreading the broad petals of
its flower and catching the sun’s
rays, it fills its body with power.",en,heartgold
3,"It is able to convert sunlight into
energy. As a result, it is more
powerful in the summertime.",en,soulsilver
3,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon.",en,black
3,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon.",en,white
3,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon.",en,black-2
3,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon.",en,white-2
3,"By spreading the broad petals of its flower
and catching the sun’s rays, it fills its body
with power.",en,x
3,"After a rainy day, the flower on its back smells
stronger. The scent attracts other Pokémon.",en,y
3,"There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people.",en,omega-ruby
3,"There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people.",en,alpha-sapphire
3,"The flower on its back catches the sun’s rays.
The sunlight is then absorbed and
used for energy.",en,lets-go-pikachu
3,"The flower on its back catches the sun’s rays.
The sunlight is then absorbed and
used for energy.",en,lets-go-eevee
3,"Its plant blooms when it is absorbing solar
energy. It stays on the move to seek sunlight.",en,sword
3,"A bewitching aroma wafts from its flower.
The fragrance becalms those engaged
in a battle.",en,shield
4,"Obviously prefers
hot places. When
it rains, steamis said to spout
from the tip of
its tail.",en,red
4,"Obviously prefers
hot places. When
it rains, steamis said to spout
from the tip of
its tail.",en,blue
4,"The flame at the
tip of its tail
makes a sound asit burns. You can
only hear it in
quiet places.",en,yellow
4,"The flame on its
tail shows the
strength of itslife force. If it
is weak, the flame
also burns weakly.",en,gold
4,"The flame on its
tail indicates
CHARMANDER's lifeforce. If it is
healthy, the flame
burns brightly.",en,silver
4,"If it's healthy,
the flame on the
tip of its tailwill burn vigor­
ously, even if it
gets a bit wet.",en,crystal
4,"The flame that burns at the tip of its
tail is an indication of its emotions.
The flame wavers when CHARMANDER isenjoying itself. If the POKéMON becomes
enraged, the flame burns fiercely.",en,ruby
4,"The flame that burns at the tip of its
tail is an indication of its emotions.
The flame wavers when CHARMANDER isenjoying itself. If the POKéMON becomes
enraged, the flame burns fiercely.",en,sapphire
4,"The flame that burns at the tip of its
tail is an indication of its emotions.
The flame wavers when CHARMANDER is
happy, and blazes when it is enraged.",en,emerald
4,"From the time it is born, a flame burns
at the tip of its tail. Its life would end
if the flame were to go out.",en,firered
4,"It has a preference for hot things.
When it rains, steam is said to spout from
the tip of its tail.",en,leafgreen
4,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely.",en,diamond
4,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely.",en,pearl
4,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely.",en,platinum
4,"The flame on its tail shows the
strength of its life force. If it is weak,
the flame also burns weakly.",en,heartgold
4,"The flame on its tail indicates
CHARMANDER’s life force. If it is
healthy, the flame burns brightly.",en,soulsilver
4,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely.",en,black
4,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely.",en,white
4,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely.",en,black-2
4,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely.",en,white-2
4,"The flame on its tail indicates Charmander’s life
force. If it is healthy, the flame burns brightly.",en,x
4,"From the time it is born, a flame burns at the tip of
its tail. Its life would end if the flame were to
go out.",en,y
4,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely.",en,omega-ruby
4,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely.",en,alpha-sapphire
4,"The flame at the tip of its tail makes a sound as
it burns. You can only hear it in quiet places.",en,lets-go-pikachu
4,"The flame at the tip of its tail makes a sound as
it burns. You can only hear it in quiet places.",en,lets-go-eevee
4,"It has a preference for hot things. When it rains,
steam is said to spout from the tip of its tail.",en,sword
4,"From the time it is born, a flame burns at the tip
of its tail. Its life would end if the flame were to
go out.",en,shield
5,"When it swings
its burning tail,
it elevates thetemperature to
unbearably high
levels.",en,red
5,"When it swings
its burning tail,
it elevates thetemperature to
unbearably high
levels.",en,blue
5,"Tough fights could
excite this
POKéMON. Whenexcited, it may
blow out bluish-
white flames.",en,yellow
5,"It is very hot­
headed by nature,
so it constantlyseeks opponents.
It calms down only
when it wins.",en,gold
5,"It has a barbaric
nature. In battle,
it whips itsfiery tail around
and slashes away
with sharp claws.",en,silver
5,"If it becomes
agitated during
battle, it spoutsintense flames,
incinerating its
surroundings.",en,crystal
5,"CHARMELEON mercilessly destroys its
foes using its sharp claws.
If it encounters a strong foe, it turnsaggressive. In this excited state, the
flame at the tip of its tail flares with a
bluish white color.",en,ruby
5,"CHARMELEON mercilessly destroys its
foes using its sharp claws.
If it encounters a strong foe, it turnsaggressive. In this excited state, the
flame at the tip of its tail flares with a
bluish white color.",en,sapphire
5,"Without pity, its sharp claws destroy foes.
If it encounters a strong enemy, it
becomes agitated, and the flame on its
tail flares with a bluish white color.",en,emerald
5,"It lashes about with its tail to knock
down its foe. It then tears up the fallen
opponent with sharp claws.",en,firered
5,"When it swings its burning tail, it
elevates the air temperature to 
unbearably high levels.",en,leafgreen
5,"In the rocky mountains where
CHARMELEON live, their fiery
tails shine at night like stars.",en,diamond
5,"In the rocky mountains where
CHARMELEON live, their fiery
tails shine at night like stars.",en,pearl
5,"In the rocky mountains where
CHARMELEON live, their fiery
tails shine at night like stars.",en,platinum
5,"It is very hotheaded by nature,
so it constantly seeks opponents.
It calms down only when it wins.",en,heartgold
5,"It has a barbaric nature. In battle,
it whips its fiery tail around
and slashes away with sharp claws.",en,soulsilver
5,"In the rocky mountains where
Charmeleon live, their fiery
tails shine at night like stars.",en,black
5,"In the rocky mountains where
Charmeleon live, their fiery
tails shine at night like stars.",en,white
5,"In the rocky mountains where
Charmeleon live, their fiery
tails shine at night like stars.",en,black-2
5,"In the rocky mountains where
Charmeleon live, their fiery
tails shine at night like stars.",en,white-2
5,"It lashes about with its tail to knock down its foe.
It then tears up the fallen opponent with
sharp claws.",en,x
5,"When it swings its burning tail, it elevates the air
temperature to unbearably high levels.",en,y
5,"Charmeleon mercilessly destroys its foes using its sharp claws.
If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with a
bluish white color.",en,omega-ruby
5,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color.",en,alpha-sapphire
5,"Tough fights could excite this Pokémon. When
excited, it may breathe out bluish-white flames.",en,lets-go-pikachu
5,"Tough fights could excite this Pokémon. When
excited, it may breathe out bluish-white flames.",en,lets-go-eevee
5,"It has a barbaric nature. In battle, it whips its
fiery tail around and slashes away with sharp claws.",en,sword
5,"If it becomes agitated during battle, it spouts
intense flames, incinerating its surroundings.",en,shield
6,"Spits fire that
is hot enough to
melt boulders.Known to cause
forest fires
unintentionally.",en,red
6,"Spits fire that
is hot enough to
melt boulders.Known to cause
forest fires
unintentionally.",en,blue
6,"When expelling a
blast of super
hot fire, the redflame at the tip
of its tail burns
more intensely.",en,yellow
6,"If CHARIZARD be­
comes furious, the
flame at the tipof its tail flares
up in a whitish-
blue color.",en,gold
6,"Breathing intense,
hot flames, it can
melt almost any­thing. Its breath
inflicts terrible
pain on enemies.",en,silver
6,"It uses its wings
to fly high. The
temperature of itsfire increases as
it gains exper­
ience in battle.",en,crystal
6,"CHARIZARD flies around the sky in
search of powerful opponents.
It breathes fire of such great heatthat it melts anything. However, it
never turns its fiery breath on any
opponent weaker than itself.",en,ruby
6,"CHARIZARD flies around the sky in
search of powerful opponents.
It breathes fire of such great heatthat it melts anything. However, it
never turns its fiery breath on any
opponent weaker than itself.",en,sapphire
6,"A CHARIZARD flies about in search of
strong opponents. It breathes intense
flames that can melt any material. However,
it will never torch a weaker foe.",en,emerald
6,"Its wings can carry this POKéMON close to
an altitude of 4,600 feet. It blows out
fire at very high temperatures.",en,firered
6,"It spits fire that is hot enough to melt
boulders. It may cause forest fires by
blowing flames.",en,leafgreen
6,"It is said that CHARIZARD’s fire
burns hotter if it has
experienced harsh battles.",en,diamond
6,"It is said that CHARIZARD’s fire
burns hotter if it has
experienced harsh battles.",en,pearl
6,"It is said that CHARIZARD’s fire
burns hotter if it has
experienced harsh battles.",en,platinum
6,"If CHARIZARD becomes furious,
the flame at the tip of its tail flares
up in a light blue shade.",en,heartgold
6,"Breathing intense, hot flames, it can
melt almost anything. Its breath
inflicts terrible pain on enemies.",en,soulsilver
6,"It is said that Charizard’s fire
burns hotter if it has
experienced harsh battles.",en,black
6,"It is said that Charizard’s fire
burns hotter if it has
experienced harsh battles.",en,white
6,"It is said that Charizard’s fire
burns hotter if it has
experienced harsh battles.",en,black-2
6,"It is said that Charizard’s fire
burns hotter if it has
experienced harsh battles.",en,white-2
6,"When expelling a blast of superhot fire,
the red flame at the tip of its tail burns
more intensely.",en,x
6,"Its wings can carry this Pokémon close to an
altitude of 4,600 feet. It blows out fire at very
high temperatures.",en,y
6,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself.",en,omega-ruby
6,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself.",en,alpha-sapphire
6,"When this Pokémon expels a blast of superhot
fire, the red flame at the tip of its tail burns
more intensely.",en,lets-go-pikachu
6,"When this Pokémon expels a blast of superhot
fire, the red flame at the tip of its tail burns
more intensely.",en,lets-go-eevee
6,"It spits fire that is hot enough to melt boulders.
It may cause forest fires by blowing flames.",en,sword
6,"Its wings can carry this Pokémon close to an
altitude of 4,600 feet. It blows out fire at very
high temperatures.",en,shield
7,"After birth, its
back swells and
hardens into ashell. Powerfully
sprays foam from
its mouth.",en,red
7,"After birth, its
back swells and
hardens into ashell. Powerfully
sprays foam from
its mouth.",en,blue
7,"Shoots water at
prey while in the
water.Withdraws into
its shell when in
danger.",en,yellow
7,"The shell is soft
when it is born.
It soon becomes soresilient, prod­
ding fingers will
bounce off it.",en,gold
7,"The shell, which
hardens soon after
it is born, isresilient. If you
poke it, it will
bounce back out.",en,silver
7,"When it feels
threatened, it
draws its legsinside its shell
and sprays water
from its mouth.",en,crystal
7,"SQUIRTLE’s shell is not merely used
for protection.
The shell’s rounded shape and thegrooves on its surface help minimize
resistance in water, enabling this
POKéMON to swim at high speeds.",en,ruby
7,"SQUIRTLE’s shell is not merely used
for protection.
The shell’s rounded shape and thegrooves on its surface help minimize
resistance in water, enabling this
POKéMON to swim at high speeds.",en,sapphire
7,"Its shell is not just for protection.
Its rounded shape and the grooves on its
surface minimize resistance in water,
enabling SQUIRTLE to swim at high speeds.",en,emerald
7,"When it retracts its long neck into its
shell, it squirts out water with vigorous
force.",en,firered
7,"After birth, its back swells and hardens
into a shell. It powerfully sprays foam 
from its mouth.",en,leafgreen
7,"It shelters itself in its shell,
then strikes back with spouts of
water at every opportunity.",en,diamond
7,"It shelters itself in its shell,
then strikes back with spouts of
water at every opportunity.",en,pearl
7,"It shelters itself in its shell,
then strikes back with spouts of
water at every opportunity.",en,platinum
7,"The shell is soft when it is born.
It soon becomes so resilient,
prodding fingers will bounce off it.",en,heartgold
7,"The shell, which hardens soon after
it is born, is resilient. If you
poke it, it will bounce back out.",en,soulsilver
7,"It shelters itself in its shell,
then strikes back with spouts of
water at every opportunity.",en,black
7,"It shelters itself in its shell,
then strikes back with spouts of
water at every opportunity.",en,white
7,"It shelters itself in its shell
then strikes back with spouts of
water at every opportunity.",en,black-2
7,"It shelters itself in its shell
then strikes back with spouts of
water at every opportunity.",en,white-2
7,"It shelters itself in its shell, then strikes back
with spouts of water at every opportunity.",en,x
7,"Shoots water at prey while in the water. Withdraws
into its shell when in danger.",en,y
7,"Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its surface
help minimize resistance in water, enabling this Pokémon
to swim at high speeds.",en,omega-ruby
7,"Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokémon to swim at high speeds.",en,alpha-sapphire
7,"Shoots water at prey while in the water.
Withdraws into its shell when in danger.",en,lets-go-pikachu
7,"Shoots water at prey while in the water.
Withdraws into its shell when in danger.",en,lets-go-eevee
7,"When it retracts its long neck into its shell, it
squirts out water with vigorous force.",en,sword
7,"When it feels threatened, it draws its limbs inside
its shell and sprays water from its mouth.",en,shield
8,"Often hides in
water to stalk
unwary prey. Forswimming fast, it
moves its ears to
maintain balance.",en,red
8,"Often hides in
water to stalk
unwary prey. Forswimming fast, it
moves its ears to
maintain balance.",en,blue
8,"When tapped, this
POKéMON will pull
in its head, butits tail will
still stick out a
little bit.",en,yellow
8,"It is recognized
as a symbol of
longevity. If itsshell has algae on
it, that WARTORTLE
is very old.",en,gold
8,"It cleverly con­
trols its furry
ears and tail tomaintain its
balance while
swimming.",en,silver
8,"Its long, furry
tail is a symbol
of longevity,making it quite
popular among
older people.",en,crystal
8,"Its tail is large and covered with a rich,
thick fur. The tail becomes increasingly
deeper in color as WARTORTLE ages.The scratches on its shell are evidence
of this POKéMON’s toughness as a
battler.",en,ruby
8,"Its tail is large and covered with a rich,
thick fur. The tail becomes increasingly
deeper in color as WARTORTLE ages.The scratches on its shell are evidence
of this POKéMON’s toughness as a
battler.",en,sapphire
8,"Its large tail is covered with rich, thick
fur that deepens in color with age.
The scratches on its shell are evidence
of this POKéMON’s toughness in battle.",en,emerald
8,"This POKéMON is very popular as a pet.
Its fur-covered tail is a symbol of its
longevity.",en,firered
8,"It often hides in water to stalk unwary
prey. For fast swimming, it moves its
ears to maintain balance.",en,leafgreen
8,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity.",en,diamond
8,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity.",en,pearl
8,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity.",en,platinum
8,"It is a well-established symbol of
longevity. If its shell has algae on it,
that WARTORTLE is very old.",en,heartgold
8,"It cleverly controls its furry
ears and tail to maintain its
balance while swimming.",en,soulsilver
8,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity.",en,black
8,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity.",en,white
8,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity.",en,black-2
8,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity.",en,white-2
8,"When tapped, this Pokémon will pull in its head,
but its tail will still stick out a little bit.",en,x
8,"It is said to live 10,000 years. Its furry tail is
popular as a symbol of longevity.",en,y
8,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler.",en,omega-ruby
8,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler.",en,alpha-sapphire
8,"When tapped on its head, this Pokémon will pull
it in, but its tail will still stick out a little bit.",en,lets-go-pikachu
8,"When tapped on its head, this Pokémon will pull
it in, but its tail will still stick out a little bit.",en,lets-go-eevee
8,"It is recognized as a symbol of longevity. If its
shell has algae on it, that Wartortle is very old.",en,sword
8,"It cleverly controls its furry ears and tail to
maintain its balance while swimming.",en,shield
9,"A brutal POKéMON
with pressurized
water jets on itsshell. They are
used for high
speed tackles.",en,red
9,"A brutal POKéMON
with pressurized
water jets on itsshell. They are
used for high
speed tackles.",en,blue
9,"Once it takes aim
at its enemy, it
blasts out waterwith even more
force than a fire
hose.",en,yellow
9,"It deliberately
makes itself heavy
so it can with­stand the recoil
of the water jets
it fires.",en,gold
9,"The rocket cannons
on its shell fire
jets of watercapable of punch­
ing holes through
thick steel.",en,silver
9,"It firmly plants
its feet on the
ground beforeshooting water
from the jets on
its back.",en,crystal
9,"BLASTOISE has water spouts that
protrude from its shell. The water
spouts are very accurate.They can shoot bullets of water with
enough accuracy to strike empty cans
from a distance of over 160 feet.",en,ruby
9,"BLASTOISE has water spouts that
protrude from its shell. The water
spouts are very accurate.They can shoot bullets of water with
enough accuracy to strike empty cans
from a distance of over 160 feet.",en,sapphire
9,"The waterspouts that protrude from its
shell are highly accurate. Their bullets of
water can precisely nail tin cans from
a distance of over 160 feet.",en,emerald
9,"It crushes its foe under its heavy body
to cause fainting. In a pinch, it will
withdraw inside its shell.",en,firered
9,"The pressurized water jets on this brutal
POKéMON’s shell are used for high-
speed tackles.",en,leafgreen
9,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel.",en,diamond
9,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel.",en,pearl
9,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel.",en,platinum
9,"It deliberately makes itself heavy
so it can withstand the recoil
of the water jets it fires.",en,heartgold
9,"The rocket cannons on its shell fire
jets of water capable of punching
holes through thick steel.",en,soulsilver
9,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel.",en,black
9,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel.",en,white
9,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel.",en,black-2
9,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel.",en,white-2
9,"It crushes its foe under its heavy body to cause
fainting. In a pinch, it will withdraw inside its shell.",en,x
9,"The pressurized water jets on this brutal Pokémon’s
shell are used for high-speed tackles.",en,y
9,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate. They can shoot bullets of
water with enough accuracy to strike empty cans from a
distance of over 160 feet.",en,omega-ruby
9,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet.",en,alpha-sapphire
9,"Once it takes aim at its enemy, it blasts out
water with even more force than a fire hose.",en,lets-go-pikachu
9,"Once it takes aim at its enemy, it blasts out
water with even more force than a fire hose.",en,lets-go-eevee
9,"It crushes its foe under its heavy body to cause
fainting. In a pinch, it will withdraw inside its shell.",en,sword
9,"The rocket cannons on its shell fire jets of water
capable of punching holes through thick steel.",en,shield
10,"Its short feet are tipped with suction
pads that enable it to tirelessly climb
slopes and walls.",en,leafgreen
10,"Its short feet
are tipped with
suction pads thatenable it to
tirelessly climb
slopes and walls.",en,red
10,"Its short feet
are tipped with
suction pads thatenable it to
tirelessly climb
slopes and walls.",en,blue
10,"If you touch the
feeler on top of
its head, it willrelease a horrible
stink to protect
itself.",en,yellow
10,"For protection, it
releases a horri­
ble stench fromthe antenna on its
head to drive away
enemies.",en,gold
10,"Its feet have
suction cups
designed to stickto any surface. It
tenaciously climbs
trees to forage.",en,silver
10,"It crawls into
foliage where it
camouflages itselfamong leaves that
are the same color
as its body.",en,crystal
10,"CATERPIE has a voracious appetite.
It can devour leaves bigger than its
body right before your eyes.From its antenna, this POKéMON releases
a terrifically strong odor.",en,ruby
10,"CATERPIE has a voracious appetite.
It can devour leaves bigger than its
body right before your eyes.From its antenna, this POKéMON releases
a terrifically strong odor.",en,sapphire
10,"Its voracious appetite compels it to
devour leaves bigger than itself without
hesitation. It releases a terribly strong
odor from its antennae.",en,emerald
10,"It is covered with a green skin. When it
grows, it sheds the skin, covers itself
with silk, and becomes a cocoon.",en,firered
10,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly.",en,diamond
10,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly.",en,pearl
10,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly.",en,platinum
10,"For protection, it releases a horrible
stench from the antennae on its
head to drive away enemies.",en,heartgold
10,"Its feet have suction cups
designed to stick to any surface. It
tenaciously climbs trees to forage.",en,soulsilver
10,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly.",en,black
10,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly.",en,white
10,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly.",en,black-2
10,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly.",en,white-2
10,"For protection, it releases a horrible stench from
the antennae on its head to drive away enemies.",en,x
