id,name,order,gender_rate,capture_rate,base_happiness,is_baby,is_legendary,is_mythical,hatch_counter,has_gender_differences,forms_switchable,color,shape,evolves_from_species,evolution_chain_url,habitat,generation
22,fearow,22,4,90,70.0,False,False,False,15.0,False,False,brown,wings,spearow,https://pokeapi.co/api/v2/evolution-chain/8/,rough-terrain,generation-i
23,ekans,23,4,255,70.0,False,False,False,20.0,False,False,purple,squiggle,,https://pokeapi.co/api/v2/evolution-chain/9/,grassland,generation-i
24,arbok,24,4,90,70.0,False,False,False,20.0,False,False,purple,squiggle,ekans,https://pokeapi.co/api/v2/evolution-chain/9/,grassland,generation-i
25,pikachu,26,4,190,50.0,False,False,False,10.0,True,False,yellow,quadruped,pichu,https://pokeapi.co/api/v2/evolution-chain/10/,forest,generation-i
26,raichu,27,4,75,50.0,False,False,False,10.0,True,False,yellow,upright,pikachu,https://pokeapi.co/api/v2/evolution-chain/10/,forest,generation-i
27,sandshrew,28,4,255,50.0,False,False,False,20.0,False,False,yellow,upright,,https://pokeapi.co/api/v2/evolution-chain/11/,rough-terrain,generation-i
28,sandslash,29,4,90,50.0,False,False,False,20.0,False,False,yellow,upright,sandshrew,https://pokeapi.co/api/v2/evolution-chain/11/,rough-terrain,generation-i
29,nidoran-f,30,8,235,50.0,False,False,False,20.0,False,False,blue,quadruped,,https://pokeapi.co/api/v2/evolution-chain/12/,grassland,generation-i
30,nidorina,31,8,120,50.0,False,False,False,20.0,False,False,blue,quadruped,nidoran-f,https://pokeapi.co/api/v2/evolution-chain/12/,grassland,generation-i
31,nidoqueen,32,8,45,50.0,False,False,False,20.0,False,False,blue,upright,nidorina,https://pokeapi.co/api/v2/evolution-chain/12/,grassland,generation-i
32,nidoran-m,33,0,235,50.0,False,False,False,20.0,False,False,purple,quadruped,,https://pokeapi.co/api/v2/evolution-chain/13/,grassland,generation-i
33,nidorino,34,0,120,50.0,False,False,False,20.0,False,False,purple,quadruped,nidoran-m,https://pokeapi.co/api/v2/evolution-chain/13/,grassland,generation-i
34,nidoking,35,0,45,50.0,False,False,False,20.0,False,False,purple,upright,nidorino,https://pokeapi.co/api/v2/evolution-chain/13/,grassland,generation-i
35,clefairy,37,6,150,140.0,False,False,False,10.0,False,False,pink,upright,cleffa,https://pokeapi.co/api/v2/evolution-chain/14/,mountain,generation-i
36,clefable,38,6,25,140.0,False,False,False,10.0,False,False,pink,upright,clefairy,https://pokeapi.co/api/v2/evolution-chain/14/,mountain,generation-i
37,vulpix,39,6,190,50.0,False,False,False,20.0,False,False,brown,quadruped,,https://pokeapi.co/api/v2/evolution-chain/15/,grassland,generation-i
38,ninetales,40,6,75,50.0,False,False,False,20.0,False,False,yellow,quadruped,vulpix,https://pokeapi.co/api/v2/evolution-chain/15/,grassland,generation-i
39,jigglypuff,42,6,170,50.0,False,False,False,10.0,False,False,pink,humanoid,igglybuff,https://pokeapi.co/api/v2/evolution-chain/16/,grassland,generation-i
40,wigglytuff,43,6,50,50.0,False,False,False,10.0,False,False,pink,humanoid,jigglypuff,https://pokeapi.co/api/v2/evolution-chain/16/,grassland,generation-i
41,zubat,44,4,255,50.0,False,False,False,15.0,True,False,purple,wings,,https://pokeapi.co/api/v2/evolution-chain/17/,cave,generation-i
42,golbat,45,4,90,50.0,False,False,False,15.0,True,False,purple,wings,zubat,https://pokeapi.co/api/v2/evolution-chain/17/,cave,generation-i
43,oddish,47,4,255,50.0,False,False,False,20.0,False,False,blue,legs,,https://pokeapi.co/api/v2/evolution-chain/18/,grassland,generation-i
44,gloom,48,4,120,50.0,False,False,False,20.0,True,False,blue,humanoid,oddish,https://pokeapi.co/api/v2/evolution-chain/18/,grassland,generation-i
45,vileplume,49,4,45,50.0,False,False,False,20.0,True,False,red,humanoid,gloom,https://pokeapi.co/api/v2/evolution-chain/18/,grassland,generation-i
46,paras,51,4,190,70.0,False,False,False,20.0,False,False,red,armor,,https://pokeapi.co/api/v2/evolution-chain/19/,forest,generation-i
47,parasect,52,4,75,70.0,False,False,False,20.0,False,False,red,armor,paras,https://pokeapi.co/api/v2/evolution-chain/19/,forest,generation-i
48,venonat,53,4,190,70.0,False,False,False,20.0,False,False,purple,humanoid,,https://pokeapi.co/api/v2/evolution-chain/20/,forest,generation-i
49,venomoth,54,4,75,70.0,False,False,False,20.0,False,False,purple,bug-wings,venonat,https://pokeapi.co/api/v2/evolution-chain/20/,forest,generation-i
50,diglett,55,4,255,50.0,False,False,False,20.0,False,False,brown,blob,,https://pokeapi.co/api/v2/evolution-chain/21/,cave,generation-i
51,dugtrio,56,4,50,50.0,False,False,False,20.0,False,False,brown,heads,diglett,https://pokeapi.co/api/v2/evolution-chain/21/,cave,generation-i
52,meowth,57,4,255,50.0,False,False,False,20.0,False,False,yellow,quadruped,,https://pokeapi.co/api/v2/evolution-chain/22/,urban,generation-i
53,persian,58,4,90,50.0,False,False,False,20.0,False,False,yellow,quadruped,meowth,https://pokeapi.co/api/v2/evolution-chain/22/,urban,generation-i
54,psyduck,59,4,190,50.0,False,False,False,20.0,False,False,yellow,upright,,https://pokeapi.co/api/v2/evolution-chain/23/,waters-edge,generation-i
55,golduck,60,4,75,50.0,False,False,False,20.0,False,False,blue,upright,psyduck,https://pokeapi.co/api/v2/evolution-chain/23/,waters-edge,generation-i
56,mankey,61,4,190,70.0,False,False,False,20.0,False,False,brown,upright,,https://pokeapi.co/api/v2/evolution-chain/24/,mountain,generation-i
57,primeape,62,4,75,70.0,False,False,False,20.0,False,False,brown,upright,mankey,https://pokeapi.co/api/v2/evolution-chain/24/,mountain,generation-i
58,growlithe,63,2,190,50.0,False,False,False,20.0,False,False,brown,quadruped,,https://pokeapi.co/api/v2/evolution-chain/25/,grassland,generation-i
59,arcanine,64,2,75,50.0,False,False,False,20.0,False,False,brown,quadruped,growlithe,https://pokeapi.co/api/v2/evolution-chain/25/,grassland,generation-i
60,poliwag,65,4,255,50.0,False,False,False,20.0,False,False,blue,legs,,https://pokeapi.co/api/v2/evolution-chain/26/,waters-edge,generation-i
61,poliwhirl,66,4,120,50.0,False,False,False,20.0,False,False,blue,humanoid,poliwag,https://pokeapi.co/api/v2/evolution-chain/26/,waters-edge,generation-i
62,poliwrath,67,4,45,50.0,False,False,False,20.0,False,False,blue,humanoid,poliwhirl,https://pokeapi.co/api/v2/evolution-chain/26/,waters-edge,generation-i
63,abra,69,2,200,50.0,False,False,False,20.0,False,False,brown,upright,,https://pokeapi.co/api/v2/evolution-chain/27/,urban,generation-i
64,kadabra,70,2,100,50.0,False,False,False,20.0,True,False,brown,upright,abra,https://pokeapi.co/api/v2/evolution-chain/27/,urban,generation-i
65,alakazam,71,2,50,50.0,False,False,False,20.0,True,True,brown,humanoid,kadabra,https://pokeapi.co/api/v2/evolution-chain/27/,urban,generation-i
66,machop,72,2,180,50.0,False,False,False,20.0,False,False,gray,upright,,https://pokeapi.co/api/v2/evolution-chain/28/,mountain,generation-i
67,machoke,73,2,90,50.0,False,False,False,20.0,False,False,gray,humanoid,machop,https://pokeapi.co/api/v2/evolution-chain/28/,mountain,generation-i
68,machamp,74,2,45,50.0,False,False,False,20.0,False,False,gray,humanoid,machoke,https://pokeapi.co/api/v2/evolution-chain/28/,mountain,generation-i
69,bellsprout,75,4,255,70.0,False,False,False,20.0,False,False,green,humanoid,,https://pokeapi.co/api/v2/evolution-chain/29/,forest,generation-i
70,weepinbell,76,4,120,70.0,False,False,False,20.0,False,False,green,blob,bellsprout,https://pokeapi.co/api/v2/evolution-chain/29/,forest,generation-i
71,victreebel,77,4,45,70.0,False,False,False,20.0,False,False,green,blob,weepinbell,https://pokeapi.co/api/v2/evolution-chain/29/,forest,generation-i
72,tentacool,78,4,190,50.0,False,False,False,20.0,False,False,blue,tentacles,,https://pokeapi.co/api/v2/evolution-chain/30/,sea,generation-i
73,tentacruel,79,4,60,50.0,False,False,False,20.0,False,False,blue,tentacles,tentacool,https://pokeapi.co/api/v2/evolution-chain/30/,sea,generation-i
74,geodude,80,4,255,70.0,False,False,False,15.0,False,False,brown,arms,,https://pokeapi.co/api/v2/evolution-chain/31/,mountain,generation-i
75,graveler,81,4,120,70.0,False,False,False,15.0,False,False,brown,humanoid,geodude,https://pokeapi.co/api/v2/evolution-chain/31/,mountain,generation-i
76,golem,82,4,45,70.0,False,False,False,15.0,False,False,brown,humanoid,graveler,https://pokeapi.co/api/v2/evolution-chain/31/,mountain,generation-i
77,ponyta,83,4,190,50.0,False,False,False,20.0,False,False,yellow,quadruped,,https://pokeapi.co/api/v2/evolution-chain/32/,grassland,generation-i
78,rapidash,84,4,60,50.0,False,False,False,20.0,False,False,yellow,quadruped,ponyta,https://pokeapi.co/api/v2/evolution-chain/32/,grassland,generation-i
79,slowpoke,85,4,190,50.0,False,False,False,20.0,False,False,pink,quadruped,,https://pokeapi.co/api/v2/evolution-chain/33/,waters-edge,generation-i
80,slowbro,86,4,75,50.0,False,False,False,20.0,False,True,pink,upright,slowpoke,https://pokeapi.co/api/v2/evolution-chain/33/,waters-edge,generation-i
81,magnemite,88,-1,190,50.0,False,False,False,20.0,False,False,gray,arms,,https://pokeapi.co/api/v2/evolution-chain/34/,rough-terrain,generation-i
82,magneton,89,-1,60,50.0,False,False,False,20.0,False,False,gray,heads,magnemite,https://pokeapi.co/api/v2/evolution-chain/34/,rough-terrain,generation-i
83,farfetchd,91,4,45,50.0,False,False,False,20.0,False,False,brown,wings,,https://pokeapi.co/api/v2/evolution-chain/35/,grassland,generation-i
84,doduo,92,4,190,70.0,False,False,False,20.0,True,False,brown,legs,,https://pokeapi.co/api/v2/evolution-chain/36/,grassland,generation-i
85,dodrio,93,4,45,70.0,False,False,False,20.0,True,False,brown,legs,doduo,https://pokeapi.co/api/v2/evolution-chain/36/,grassland,generation-i
86,seel,94,4,190,70.0,False,False,False,20.0,False,False,white,fish,,https://pokeapi.co/api/v2/evolution-chain/37/,sea,generation-i
87,dewgong,95,4,75,70.0,False,False,False,20.0,False,False,white,fish,seel,https://pokeapi.co/api/v2/evolution-chain/37/,sea,generation-i
88,grimer,96,4,190,70.0,False,False,False,20.0,False,False,purple,arms,,https://pokeapi.co/api/v2/evolution-chain/38/,urban,generation-i
89,muk,97,4,75,70.0,False,False,False,20.0,False,False,purple,arms,grimer,https://pokeapi.co/api/v2/evolution-chain/38/,urban,generation-i
90,shellder,98,4,190,50.0,False,False,False,20.0,False,False,purple,ball,,https://pokeapi.co/api/v2/evolution-chain/39/,sea,generation-i
91,cloyster,99,4,60,50.0,False,False,False,20.0,False,False,purple,ball,shellder,https://pokeapi.co/api/v2/evolution-chain/39/,sea,generation-i
92,gastly,100,4,190,50.0,False,False,False,20.0,False,False,purple,ball,,https://pokeapi.co/api/v2/evolution-chain/40/,cave,generation-i
93,haunter,101,4,90,50.0,False,False,False,20.0,False,False,purple,arms,gastly,https://pokeapi.co/api/v2/evolution-chain/40/,cave,generation-i
94,gengar,102,4,45,50.0,False,False,False,20.0,False,True,purple,upright,haunter,https://pokeapi.co/api/v2/evolution-chain/40/,cave,generation-i
95,onix,103,4,45,50.0,False,False,False,25.0,False,False,gray,squiggle,,https://pokeapi.co/api/v2/evolution-chain/41/,cave,generation-i
96,drowzee,105,4,190,70.0,False,False,False,20.0,False,False,yellow,humanoid,,https://pokeapi.co/api/v2/evolution-chain/42/,grassland,generation-i
97,hypno,106,4,75,70.0,False,False,False,20.0,True,False,yellow,humanoid,drowzee,https://pokeapi.co/api/v2/evolution-chain/42/,grassland,generation-i
98,krabby,107,4,225,50.0,False,False,False,20.0,False,False,red,armor,,https://pokeapi.co/api/v2/evolution-chain/43/,waters-edge,generation-i
99,kingler,108,4,60,50.0,False,False,False,20.0,False,False,red,armor,krabby,https://pokeapi.co/api/v2/evolution-chain/43/,waters-edge,generation-i
100,voltorb,109,-1,190,70.0,False,False,False,20.0,False,False,red,ball,,https://pokeapi.co/api/v2/evolution-chain/44/,urban,generation-i
101,electrode,110,-1,60,70.0,False,False,False,20.0,False,False,red,ball,voltorb,https://pokeapi.co/api/v2/evolution-chain/44/,urban,generation-i
102,exeggcute,111,4,90,50.0,False,False,False,20.0,False,False,pink,heads,,https://pokeapi.co/api/v2/evolution-chain/45/,forest,generation-i
103,exeggutor,112,4,45,50.0,False,False,False,20.0,False,False,yellow,legs,exeggcute,https://pokeapi.co/api/v2/evolution-chain/45/,forest,generation-i
104,cubone,113,4,190,50.0,False,False,False,20.0,False,False,brown,upright,,https://pokeapi.co/api/v2/evolution-chain/46/,mountain,generation-i
105,marowak,114,4,75,50.0,False,False,False,20.0,False,False,brown,upright,cubone,https://pokeapi.co/api/v2/evolution-chain/46/,mountain,generation-i
106,hitmonlee,116,0,45,50.0,False,False,False,25.0,False,False,brown,humanoid,tyrogue,https://pokeapi.co/api/v2/evolution-chain/47/,urban,generation-i
107,hitmonchan,117,0,45,50.0,False,False,False,25.0,False,False,brown,humanoid,tyrogue,https://pokeapi.co/api/v2/evolution-chain/47/,urban,generation-i
108,lickitung,119,4,45,50.0,False,False,False,20.0,False,False,pink,upright,,https://pokeapi.co/api/v2/evolution-chain/48/,grassland,generation-i
109,koffing,121,4,190,50.0,False,False,False,20.0,False,False,purple,ball,,https://pokeapi.co/api/v2/evolution-chain/49/,urban,generation-i
110,weezing,122,4,60,50.0,False,False,False,20.0,False,False,purple,heads,koffing,https://pokeapi.co/api/v2/evolution-chain/49/,urban,generation-i
111,rhyhorn,123,4,120,50.0,False,False,False,20.0,True,False,gray,quadruped,,https://pokeapi.co/api/v2/evolution-chain/50/,rough-terrain,generation-i
112,rhydon,124,4,60,50.0,False,False,False,20.0,True,False,gray,upright,rhyhorn,https://pokeapi.co/api/v2/evolution-chain/50/,rough-terrain,generation-i
113,chansey,127,8,30,140.0,False,False,False,40.0,False,False,pink,upright,happiny,https://pokeapi.co/api/v2/evolution-chain/51/,urban,generation-i
114,tangela,129,4,45,50.0,False,False,False,20.0,False,False,blue,legs,,https://pokeapi.co/api/v2/evolution-chain/52/,grassland,generation-i
115,kangaskhan,131,8,45,50.0,False,False,False,20.0,False,True,brown,upright,,https://pokeapi.co/api/v2/evolution-chain/53/,grassland,generation-i
116,horsea,132,4,225,50.0,False,False,False,20.0,False,False,blue,blob,,https://pokeapi.co/api/v2/evolution-chain/54/,sea,generation-i
117,seadra,133,4,75,50.0,False,False,False,20.0,False,False,blue,blob,horsea,https://pokeapi.co/api/v2/evolution-chain/54/,sea,generation-i
118,goldeen,135,4,225,50.0,False,False,False,20.0,True,False,red,fish,,https://pokeapi.co/api/v2/evolution-chain/55/,waters-edge,generation-i
119,seaking,136,4,60,50.0,False,False,False,20.0,True,False,red,fish,goldeen,https://pokeapi.co/api/v2/evolution-chain/55/,waters-edge,generation-i
120,staryu,137,-1,225,50.0,False,False,False,20.0,False,False,brown,blob,,https://pokeapi.co/api/v2/evolution-chain/56/,sea,generation-i
121,starmie,138,-1,60,50.0,False,False,False,20.0,False,False,purple,blob,staryu,https://pokeapi.co/api/v2/evolution-chain/56/,sea,generation-i
122,mr-mime,140,4,45,50.0,False,False,False,25.0,False,False,pink,humanoid,mime-jr,https://pokeapi.co/api/v2/evolution-chain/57/,urban,generation-i
123,scyther,141,4,45,50.0,False,False,False,25.0,True,False,green,bug-wings,,https://pokeapi.co/api/v2/evolution-chain/58/,grassland,generation-i
124,jynx,144,8,45,50.0,False,False,False,25.0,False,False,red,humanoid,smoochum,https://pokeapi.co/api/v2/evolution-chain/59/,urban,generation-i
125,electabuzz,146,2,45,50.0,False,False,False,25.0,False,False,yellow,upright,elekid,https://pokeapi.co/api/v2/evolution-chain/60/,grassland,generation-i
126,magmar,149,2,45,50.0,False,False,False,25.0,False,False,red,upright,magby,https://pokeapi.co/api/v2/evolution-chain/61/,mountain,generation-i
127,pinsir,151,4,45,50.0,False,False,False,25.0,False,True,brown,humanoid,,https://pokeapi.co/api/v2/evolution-chain/62/,forest,generation-i
128,tauros,152,0,45,50.0,False,False,False,20.0,False,False,brown,quadruped,,https://pokeapi.co/api/v2/evolution-chain/63/,grassland,generation-i
129,magikarp,153,4,255,50.0,False,False,False,5.0,True,False,red,fish,,https://pokeapi.co/api/v2/evolution-chain/64/,waters-edge,generation-i
130,gyarados,154,4,45,50.0,False,False,False,5.0,True,True,blue,squiggle,magikarp,https://pokeapi.co/api/v2/evolution-chain/64/,waters-edge,generation-i
131,lapras,155,4,45,50.0,False,False,False,40.0,False,False,blue,fish,,https://pokeapi.co/api/v2/evolution-chain/65/,sea,generation-i
132,ditto,156,-1,35,50.0,False,False,False,20.0,False,False,purple,ball,,https://pokeapi.co/api/v2/evolution-chain/66/,urban,generation-i
133,eevee,157,1,45,50.0,False,False,False,35.0,True,False,brown,quadruped,,https://pokeapi.co/api/v2/evolution-chain/67/,urban,generation-i
134,vaporeon,158,1,45,50.0,False,False,False,35.0,False,False,blue,quadruped,eevee,https://pokeapi.co/api/v2/evolution-chain/67/,urban,generation-i
135,jolteon,159,1,45,50.0,False,False,False,35.0,False,False,yellow,quadruped,eevee,https://pokeapi.co/api/v2/evolution-chain/67/,urban,generation-i
136,flareon,160,1,45,50.0,False,False,False,35.0,False,False,red,quadruped,eevee,https://pokeapi.co/api/v2/evolution-chain/67/,urban,generation-i
137,porygon,166,-1,45,50.0,False,False,False,20.0,False,False,pink,legs,,https://pokeapi.co/api/v2/evolution-chain/68/,urban,generation-i
138,omanyte,169,1,45,50.0,False,False,False,30.0,False,False,blue,tentacles,,https://pokeapi.co/api/v2/evolution-chain/69/,sea,generation-i
139,omastar,170,1,45,50.0,False,False,False,30.0,False,False,blue,tentacles,omanyte,https://pokeapi.co/api/v2/evolution-chain/69/,sea,generation-i
140,kabuto,171,1,45,50.0,False,False,False,30.0,False,False,brown,armor,,https://pokeapi.co/api/v2/evolution-chain/70/,sea,generation-i
141,kabutops,172,1,45,50.0,False,False,False,30.0,False,False,brown,upright,kabuto,https://pokeapi.co/api/v2/evolution-chain/70/,sea,generation-i
142,aerodactyl,173,1,45,50.0,False,False,False,35.0,False,True,purple,wings,,https://pokeapi.co/api/v2/evolution-chain/71/,mountain,generation-i
143,snorlax,175,1,25,50.0,False,False,False,40.0,False,False,black,humanoid,munchlax,https://pokeapi.co/api/v2/evolution-chain/72/,mountain,generation-i
144,articuno,176,-1,3,35.0,False,True,False,80.0,False,False,blue,wings,,https://pokeapi.co/api/v2/evolution-chain/73/,rare,generation-i
145,zapdos,177,-1,3,35.0,False,True,False,80.0,False,False,yellow,wings,,https://pokeapi.co/api/v2/evolution-chain/74/,rare,generation-i
146,moltres,178,-1,3,35.0,False,True,False,80.0,False,False,yellow,wings,,https://pokeapi.co/api/v2/evolution-chain/75/,rare,generation-i
147,dratini,179,4,45,35.0,False,False,False,40.0,False,False,blue,squiggle,,https://pokeapi.co/api/v2/evolution-chain/76/,waters-edge,generation-i
148,dragonair,180,4,45,35.0,False,False,False,40.0,False,False,blue,squiggle,dratini,https://pokeapi.co/api/v2/evolution-chain/76/,waters-edge,generation-i
149,dragonite,181,4,45,35.0,False,False,False,40.0,False,False,brown,upright,dragonair,https://pokeapi.co/api/v2/evolution-chain/76/,waters-edge,generation-i
150,mewtwo,182,-1,3,0.0,False,True,False,120.0,False,True,purple,upright,,https://pokeapi.co/api/v2/evolution-chain/77/,rare,generation-i
151,mew,183,-1,45,100.0,False,False,True,120.0,False,False,pink,upright,,https://pokeapi.co/api/v2/evolution-chain/78/,rare,generation-i
152,chikorita,184,1,45,70.0,False,False,False,20.0,False,False,green,quadruped,,https://pokeapi.co/api/v2/evolution-chain/79/,grassland,generation-ii
153,bayleef,185,1,45,70.0,False,False,False,20.0,False,False,green,quadruped,chikorita,https://pokeapi.co/api/v2/evolution-chain/79/,grassland,generation-ii
154,meganium,186,1,45,70.0,False,False,False,20.0,True,False,green,quadruped,bayleef,https://pokeapi.co/api/v2/evolution-chain/79/,grassland,generation-ii
155,cyndaquil,187,1,45,70.0,False,False,False,20.0,False,False,yellow,humanoid,,https://pokeapi.co/api/v2/evolution-chain/80/,grassland,generation-ii
156,quilava,188,1,45,70.0,False,False,False,20.0,False,False,yellow,quadruped,cyndaquil,https://pokeapi.co/api/v2/evolution-chain/80/,grassland,generation-ii
157,typhlosion,189,1,45,70.0,False,False,False,20.0,False,False,yellow,quadruped,quilava,https://pokeapi.co/api/v2/evolution-chain/80/,grassland,generation-ii
158,totodile,190,1,45,70.0,False,False,False,20.0,False,False,blue,upright,,https://pokeapi.co/api/v2/evolution-chain/81/,waters-edge,generation-ii
159,croconaw,191,1,45,70.0,False,False,False,20.0,False,False,blue,upright,totodile,https://pokeapi.co/api/v2/evolution-chain/81/,waters-edge,generation-ii
160,feraligatr,192,1,45,70.0,False,False,False,20.0,False,False,blue,upright,croconaw,https://pokeapi.co/api/v2/evolution-chain/81/,waters-edge,generation-ii
161,sentret,193,4,255,70.0,False,False,False,15.0,False,False,brown,quadruped,,https://pokeapi.co/api/v2/evolution-chain/82/,grassland,generation-ii
162,furret,194,4,90,70.0,False,False,False,15.0,False,False,brown,quadruped,sentret,https://pokeapi.co/api/v2/evolution-chain/82/,grassland,generation-ii
163,hoothoot,195,4,255,50.0,False,False,False,15.0,False,False,brown,wings,,https://pokeapi.co/api/v2/evolution-chain/83/,forest,generation-ii
164,noctowl,196,4,90,50.0,False,False,False,15.0,False,False,brown,wings,hoothoot,https://pokeapi.co/api/v2/evolution-chain/83/,forest,generation-ii
165,ledyba,197,4,255,70.0,False,False,False,15.0,True,False,red,wings,,https://pokeapi.co/api/v2/evolution-chain/84/,forest,generation-ii
166,ledian,198,4,90,70.0,False,False,False,15.0,True,False,red,wings,ledyba,https://pokeapi.co/api/v2/evolution-chain/84/,forest,generation-ii
167,spinarak,199,4,255,70.0,False,False,False,15.0,False,False,green,armor,,https://pokeapi.co/api/v2/evolution-chain/85/,forest,generation-ii
168,ariados,200,4,90,70.0,False,False,False,15.0,False,False,red,armor,spinarak,https://pokeapi.co/api/v2/evolution-chain/85/,forest,generation-ii
169,crobat,46,4,90,50.0,False,False,False,15.0,False,False,purple,bug-wings,golbat,https://pokeapi.co/api/v2/evolution-chain/17/,cave,generation-ii
170,chinchou,201,4,190,50.0,False,False,False,20.0,False,False,blue,fish,,https://pokeapi.co/api/v2/evolution-chain/86/,sea,generation-ii
171,lanturn,202,4,75,50.0,False,False,False,20.0,False,False,blue,fish,chinchou,https://pokeapi.co/api/v2/evolution-chain/86/,sea,generation-ii
172,pichu,25,4,190,50.0,True,False,False,10.0,False,False,yellow,quadruped,,https://pokeapi.co/api/v2/evolution-chain/10/,forest,generation-ii
173,cleffa,36,6,150,140.0,True,False,False,10.0,False,False,pink,upright,,https://pokeapi.co/api/v2/evolution-chain/14/,mountain,generation-ii
174,igglybuff,41,6,170,50.0,True,False,False,10.0,False,False,pink,humanoid,,https://pokeapi.co/api/v2/evolution-chain/16/,grassland,generation-ii
175,togepi,203,1,190,50.0,True,False,False,10.0,False,False,white,humanoid,,https://pokeapi.co/api/v2/evolution-chain/87/,forest,generation-ii
176,togetic,204,1,75,50.0,False,False,False,10.0,False,False,white,humanoid,togepi,https://pokeapi.co/api/v2/evolution-chain/87/,forest,generation-ii
177,natu,206,4,190,50.0,False,False,False,20.0,False,False,green,wings,,https://pokeapi.co/api/v2/evolution-chain/88/,forest,generation-ii
178,xatu,207,4,75,50.0,False,False,False,20.0,True,False,green,wings,natu,https://pokeapi.co/api/v2/evolution-chain/88/,forest,generation-ii
179,mareep,208,4,235,70.0,False,False,False,20.0,False,False,white,quadruped,,https://pokeapi.co/api/v2/evolution-chain/89/,grassland,generation-ii
180,flaaffy,209,4,120,70.0,False,False,False,20.0,False,False,pink,upright,mareep,https://pokeapi.co/api/v2/evolution-chain/89/,grassland,generation-ii
181,ampharos,210,4,45,70.0,False,False,False,20.0,False,True,yellow,upright,flaaffy,https://pokeapi.co/api/v2/evolution-chain/89/,grassland,generation-ii
182,bellossom,50,4,45,50.0,False,False,False,20.0,False,False,green,humanoid,gloom,https://pokeapi.co/api/v2/evolution-chain/18/,grassland,generation-ii
183,marill,212,4,190,50.0,False,False,False,10.0,False,False,blue,upright,azurill,https://pokeapi.co/api/v2/evolution-chain/90/,waters-edge,generation-ii
184,azumarill,213,4,75,50.0,False,False,False,10.0,False,False,blue,upright,marill,https://pokeapi.co/api/v2/evolution-chain/90/,waters-edge,generation-ii
