species_id,entry_number_1,pokedex_name_1,entry_number_2,pokedex_name_2,entry_number_3,pokedex_name_3,entry_number_4,pokedex_name_4,entry_number_5,pokedex_name_5,entry_number_6,pokedex_name_6,entry_number_7,pokedex_name_7,entry_number_8,pokedex_name_8,entry_number_9,pokedex_name_9,entry_number_10,pokedex_name_10,entry_number_11,pokedex_name_11,entry_number_12,pokedex_name_12,entry_number_13,pokedex_name_13,entry_number_14,pokedex_name_14,entry_number_15,pokedex_name_15,entry_number_16,pokedex_name_16,entry_number_17,pokedex_name_17,entry_number_18,pokedex_name_18,entry_number_19,pokedex_name_19,entry_number_20,pokedex_name_20,entry_number_21,pokedex_name_21,entry_number_22,pokedex_name_22,entry_number_23,pokedex_name_23,entry_number_24,pokedex_name_24,entry_number_25,pokedex_name_25,entry_number_26,pokedex_name_26,entry_number_27,pokedex_name_27
16,10,original-johto,10,updated-johto,16,national,16,kanto,16,letsgo-kanto,17,kalos-central,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,11,original-johto,11,updated-johto,17,national,17,kanto,17,letsgo-kanto,18,kalos-central,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,12,original-johto,12,updated-johto,18,national,18,kanto,18,letsgo-kanto,19,kalos-central,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,6,original-akala,6,original-ulaula,6,original-poni,6,updated-akala,6,updated-ulaula,6,updated-poni,15,updated-alola,15,updated-melemele,15,original-alola,15,original-melemele,17,original-johto,17,updated-johto,19,national,19,kanto,19,letsgo-kanto,59,updated-unova,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,7,original-akala,7,original-ulaula,7,original-poni,7,updated-akala,7,updated-ulaula,7,updated-poni,16,original-alola,16,original-melemele,16,updated-alola,16,updated-melemele,18,original-johto,18,updated-johto,20,national,20,kanto,20,letsgo-kanto,60,updated-unova,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,13,original-johto,13,updated-johto,21,national,21,kanto,21,letsgo-kanto,24,original-poni,33,updated-poni,40,original-ulaula,40,updated-ulaula,73,original-alola,73,original-melemele,87,updated-alola,87,updated-melemele,109,kalos-mountain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,14,original-johto,14,updated-johto,22,letsgo-kanto,22,national,22,kanto,25,original-poni,34,updated-poni,41,updated-ulaula,41,original-ulaula,74,original-alola,74,original-melemele,88,updated-alola,88,updated-melemele,110,kalos-mountain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,18,kitakami,23,letsgo-kanto,23,national,23,kanto,37,kalos-mountain,50,original-johto,50,updated-johto,54,conquest-gallery,61,updated-alola,61,updated-melemele,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,19,kitakami,24,letsgo-kanto,24,national,24,kanto,38,kalos-mountain,51,original-johto,51,updated-johto,55,conquest-gallery,62,updated-alola,62,updated-melemele,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,16,conquest-gallery,21,kitakami,22,updated-johto,22,original-johto,25,national,25,kanto,25,letsgo-kanto,25,original-alola,25,original-melemele,32,updated-alola,32,updated-melemele,36,kalos-central,56,hisui,74,paldea,85,isle-of-armor,104,original-sinnoh,104,extended-sinnoh,156,hoenn,163,updated-hoenn,194,galar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,17,conquest-gallery,22,kitakami,23,updated-johto,23,original-johto,26,national,26,kanto,26,letsgo-kanto,26,original-alola,26,original-melemele,33,updated-alola,33,updated-melemele,37,kalos-central,57,hisui,75,paldea,86,isle-of-armor,105,original-sinnoh,105,extended-sinnoh,157,hoenn,164,updated-hoenn,195,galar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,27,national,27,kanto,27,letsgo-kanto,48,updated-johto,48,original-johto,97,kalos-mountain,112,hoenn,113,updated-unova,116,kitakami,117,updated-hoenn,123,original-ulaula,149,updated-ulaula,155,blueberry,168,isle-of-armor,251,original-alola,328,updated-alola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,28,national,28,kanto,28,letsgo-kanto,49,original-johto,49,updated-johto,98,kalos-mountain,113,hoenn,114,updated-unova,117,kitakami,118,updated-hoenn,124,original-ulaula,150,updated-ulaula,156,blueberry,169,isle-of-armor,252,original-alola,329,updated-alola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,29,national,29,kanto,29,letsgo-kanto,65,crown-tundra,95,original-johto,95,updated-johto,104,kalos-coastal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,30,national,30,kanto,30,letsgo-kanto,66,crown-tundra,96,original-johto,96,updated-johto,105,kalos-coastal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,31,national,31,kanto,31,letsgo-kanto,67,crown-tundra,97,original-johto,97,updated-johto,106,kalos-coastal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,32,national,32,kanto,32,letsgo-kanto,68,crown-tundra,98,original-johto,98,updated-johto,107,kalos-coastal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,33,national,33,kanto,33,letsgo-kanto,69,crown-tundra,99,original-johto,99,updated-johto,108,kalos-coastal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,34,national,34,kanto,34,letsgo-kanto,70,crown-tundra,100,original-johto,100,updated-johto,109,kalos-coastal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,35,national,35,kanto,35,letsgo-kanto,41,updated-johto,41,original-johto,44,crown-tundra,83,original-ulaula,89,updated-unova,94,updated-ulaula,100,original-sinnoh,100,extended-sinnoh,152,kitakami,200,hisui,211,original-alola,255,galar,273,updated-alola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,36,national,36,kanto,36,letsgo-kanto,42,original-johto,42,updated-johto,45,crown-tundra,84,original-ulaula,90,updated-unova,95,updated-ulaula,101,original-sinnoh,101,extended-sinnoh,153,kitakami,201,hisui,212,original-alola,256,galar,274,updated-alola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,37,national,37,kanto,37,letsgo-kanto,37,kitakami,68,galar,125,original-ulaula,125,original-johto,127,updated-johto,151,updated-ulaula,153,hoenn,157,blueberry,160,updated-hoenn,168,hisui,248,updated-unova,253,original-alola,330,updated-alola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,38,national,38,kanto,38,kitakami,38,letsgo-kanto,69,galar,126,original-johto,126,original-ulaula,128,updated-johto,152,updated-ulaula,154,hoenn,158,blueberry,161,updated-hoenn,169,hisui,249,updated-unova,254,original-alola,331,updated-alola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,12,isle-of-armor,21,conquest-gallery,39,national,39,kanto,39,letsgo-kanto,44,original-johto,44,updated-johto,60,paldea,62,original-akala,69,updated-akala,120,kalos-mountain,135,original-alola,138,hoenn,143,updated-hoenn,168,updated-alola,282,updated-unova,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,13,isle-of-armor,22,conquest-gallery,40,letsgo-kanto,40,national,40,kanto,45,original-johto,45,updated-johto,61,paldea,63,original-akala,70,updated-akala,121,kalos-mountain,136,original-alola,139,hoenn,144,updated-hoenn,169,updated-alola,283,updated-unova,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,19,original-poni,23,conquest-gallery,26,updated-akala,26,original-akala,26,updated-poni,28,original-sinnoh,28,extended-sinnoh,34,hisui,35,original-ulaula,35,updated-ulaula,37,updated-johto,37,original-johto,41,national,41,kanto,41,letsgo-kanto,61,updated-unova,63,hoenn,65,updated-hoenn,68,original-alola,68,original-melemele,80,updated-alola,80,updated-melemele,144,crown-tundra,145,kalos-central,NULL,NULL,NULL,NULL,NULL,NULL
42,20,original-poni,24,conquest-gallery,27,original-akala,27,updated-akala,27,updated-poni,29,original-sinnoh,29,extended-sinnoh,35,hisui,36,updated-ulaula,36,original-ulaula,38,original-johto,38,updated-johto,42,national,42,kanto,42,letsgo-kanto,62,updated-unova,64,hoenn,66,updated-hoenn,69,original-alola,69,original-melemele,81,updated-alola,81,updated-melemele,145,crown-tundra,146,kalos-central,NULL,NULL,NULL,NULL,NULL,NULL
43,43,letsgo-kanto,43,national,43,kanto,55,galar,62,blueberry,83,updated-johto,83,original-johto,88,hoenn,91,updated-hoenn,105,kalos-central,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,44,national,44,kanto,44,letsgo-kanto,56,galar,63,blueberry,84,updated-johto,84,original-johto,89,hoenn,92,updated-hoenn,106,kalos-central,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,45,national,45,kanto,45,letsgo-kanto,57,galar,64,blueberry,85,original-johto,85,updated-johto,90,hoenn,93,updated-hoenn,107,kalos-central,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,46,letsgo-kanto,46,national,46,kanto,53,hisui,66,original-ulaula,70,original-johto,70,updated-johto,72,updated-ulaula,74,original-akala,81,updated-akala,147,original-alola,180,updated-alola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,47,national,47,kanto,47,letsgo-kanto,54,hisui,67,original-ulaula,71,original-johto,71,updated-johto,73,updated-ulaula,75,original-akala,82,updated-akala,148,original-alola,181,updated-alola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,8,blueberry,48,national,48,kanto,48,letsgo-kanto,108,original-johto,109,updated-johto,256,paldea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,9,blueberry,49,letsgo-kanto,49,national,49,kanto,109,original-johto,110,updated-johto,257,paldea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,1,kalos-mountain,22,original-poni,29,updated-akala,29,original-akala,31,updated-poni,38,original-ulaula,38,updated-ulaula,50,letsgo-kanto,50,national,50,kanto,66,blueberry,71,original-alola,71,original-melemele,85,updated-alola,85,updated-melemele,132,original-johto,134,updated-johto,148,paldea,164,galar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,2,kalos-mountain,23,original-poni,30,updated-akala,30,original-akala,32,updated-poni,39,original-ulaula,39,updated-ulaula,51,letsgo-kanto,51,national,51,kanto,67,blueberry,72,original-alola,72,original-melemele,86,updated-alola,86,updated-melemele,133,original-johto,135,updated-johto,149,paldea,165,galar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,23,original-ulaula,23,updated-ulaula,45,original-alola,45,original-melemele,52,updated-alola,52,updated-melemele,52,letsgo-kanto,52,national,52,kanto,58,conquest-gallery,136,original-johto,138,updated-johto,141,paldea,182,galar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,24,original-ulaula,24,updated-ulaula,46,original-alola,46,original-melemele,53,letsgo-kanto,53,updated-alola,53,updated-melemele,53,national,53,kanto,59,conquest-gallery,137,original-johto,139,updated-johto,142,paldea,184,galar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,28,updated-unova,32,original-akala,32,updated-akala,39,original-poni,43,original-sinnoh,43,extended-sinnoh,49,original-ulaula,51,updated-poni,52,updated-ulaula,54,national,54,kanto,54,letsgo-kanto,55,paldea,59,kalos-central,68,hisui,89,original-alola,89,original-melemele,107,updated-alola,107,updated-melemele,138,original-johto,140,updated-johto,146,isle-of-armor,158,hoenn,165,updated-hoenn,NULL,NULL,NULL,NULL,NULL,NULL
55,29,updated-unova,33,original-akala,33,updated-akala,40,original-poni,44,original-sinnoh,44,extended-sinnoh,50,original-ulaula,52,updated-poni,53,updated-ulaula,55,letsgo-kanto,55,national,55,kanto,56,paldea,60,kalos-central,69,hisui,90,original-alola,90,original-melemele,108,updated-alola,108,updated-melemele,139,original-johto,141,updated-johto,147,isle-of-armor,159,hoenn,166,updated-hoenn,NULL,NULL,NULL,NULL,NULL,NULL
56,30,original-poni,39,updated-poni,56,letsgo-kanto,56,national,56,kanto,79,original-alola,79,original-melemele,93,updated-alola,93,updated-melemele,99,kitakami,134,original-johto,136,updated-johto,158,paldea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,31,original-poni,40,updated-poni,57,letsgo-kanto,57,national,57,kanto,80,original-alola,80,original-melemele,94,updated-alola,94,updated-melemele,100,kitakami,135,original-johto,137,updated-johto,159,paldea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,51,updated-unova,52,original-alola,52,original-melemele,58,national,58,kanto,58,letsgo-kanto,64,updated-alola,64,updated-melemele,70,galar,78,kitakami,127,original-johto,129,updated-johto,150,hisui,213,paldea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,52,updated-unova,53,original-alola,53,original-melemele,59,letsgo-kanto,59,national,59,kanto,65,updated-alola,65,updated-melemele,71,galar,79,kitakami,128,original-johto,130,updated-johto,151,hisui,214,paldea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,33,kalos-mountain,39,kitakami,60,national,60,kanto,60,letsgo-kanto,68,original-ulaula,72,original-johto,72,updated-johto,74,updated-ulaula,76,original-akala,83,updated-akala,142,isle-of-armor,149,original-alola,182,updated-alola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,34,kalos-mountain,40,kitakami,61,letsgo-kanto,61,national,61,kanto,69,original-ulaula,73,original-johto,73,updated-johto,75,updated-ulaula,77,original-akala,84,updated-akala,143,isle-of-armor,150,original-alola,183,updated-alola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
