species_id,entry_number,pokedex_name
63,89,updated-johto
63,127,conquest-gallery
63,102,kalos-central
63,40,updated-hoenn
63,42,original-alola
63,42,original-melemele
63,49,updated-alola
63,49,updated-melemele
63,63,letsgo-kanto
63,31,isle-of-armor
63,58,hisui
64,64,national
64,64,kanto
64,90,original-johto
64,40,hoenn
64,21,original-sinnoh
64,21,extended-sinnoh
64,90,updated-johto
64,128,conquest-gallery
64,103,kalos-central
64,41,updated-hoenn
64,43,original-alola
64,43,original-melemele
64,50,updated-alola
64,50,updated-melemele
64,64,letsgo-kanto
64,32,isle-of-armor
64,59,hisui
65,65,national
65,65,kanto
65,91,original-johto
65,41,hoenn
65,22,original-sinnoh
65,22,extended-sinnoh
65,91,updated-johto
65,129,conquest-gallery
65,104,kalos-central
65,42,updated-hoenn
65,44,original-alola
65,44,original-melemele
65,51,updated-alola
65,51,updated-melemele
65,65,letsgo-kanto
65,33,isle-of-armor
65,60,hisui
66,66,national
66,66,kanto
66,140,original-johto
66,73,hoenn
66,40,original-sinnoh
66,40,extended-sinnoh
66,142,updated-johto
66,98,conquest-gallery
66,57,kalos-coastal
66,75,updated-hoenn
66,95,original-alola
66,95,original-melemele
66,45,original-poni
66,117,updated-alola
66,117,updated-melemele
66,57,updated-poni
66,66,letsgo-kanto
66,138,galar
66,154,hisui
67,67,national
67,67,kanto
67,141,original-johto
67,74,hoenn
67,41,original-sinnoh
67,41,extended-sinnoh
67,143,updated-johto
67,99,conquest-gallery
67,58,kalos-coastal
67,76,updated-hoenn
67,96,original-alola
67,96,original-melemele
67,46,original-poni
67,118,updated-alola
67,118,updated-melemele
67,58,updated-poni
67,67,letsgo-kanto
67,139,galar
67,155,hisui
68,68,national
68,68,kanto
68,142,original-johto
68,75,hoenn
68,42,original-sinnoh
68,42,extended-sinnoh
68,144,updated-johto
68,100,conquest-gallery
68,59,kalos-coastal
68,77,updated-hoenn
68,97,original-alola
68,97,original-melemele
68,47,original-poni
68,119,updated-alola
68,119,updated-melemele
68,59,updated-poni
68,68,letsgo-kanto
68,140,galar
68,156,hisui
69,69,national
69,69,kanto
69,64,original-johto
69,64,updated-johto
69,26,kalos-mountain
69,69,letsgo-kanto
69,23,kitakami
70,70,national
70,70,kanto
70,65,original-johto
70,65,updated-johto
70,27,kalos-mountain
70,70,letsgo-kanto
70,24,kitakami
71,71,national
71,71,kanto
71,66,original-johto
71,66,updated-johto
71,28,kalos-mountain
71,71,letsgo-kanto
71,25,kitakami
72,72,national
72,72,kanto
72,162,original-johto
72,66,hoenn
72,136,original-sinnoh
72,136,extended-sinnoh
72,164,updated-johto
72,25,kalos-coastal
72,68,updated-hoenn
72,106,original-alola
72,106,original-melemele
72,38,original-akala
72,53,original-ulaula
72,55,original-poni
72,129,updated-alola
72,129,updated-melemele
72,38,updated-akala
72,56,updated-ulaula
72,67,updated-poni
72,72,letsgo-kanto
72,40,isle-of-armor
72,170,hisui
72,50,blueberry
73,73,national
73,73,kanto
73,163,original-johto
73,67,hoenn
73,137,original-sinnoh
73,137,extended-sinnoh
73,165,updated-johto
73,26,kalos-coastal
73,69,updated-hoenn
73,107,original-alola
73,107,original-melemele
73,39,original-akala
73,54,original-ulaula
73,56,original-poni
73,130,updated-alola
73,130,updated-melemele
73,39,updated-akala
73,57,updated-ulaula
73,68,updated-poni
73,73,letsgo-kanto
73,41,isle-of-armor
73,171,hisui
73,51,blueberry
74,74,national
74,74,kanto
74,34,original-johto
74,57,hoenn
74,31,original-sinnoh
74,31,extended-sinnoh
74,34,updated-johto
74,9,kalos-mountain
74,58,updated-hoenn
74,229,original-alola
74,101,original-ulaula
74,298,updated-alola
74,119,updated-ulaula
74,74,letsgo-kanto
74,46,hisui
74,80,kitakami
74,96,blueberry
75,75,national
75,75,kanto
75,35,original-johto
75,58,hoenn
75,32,original-sinnoh
75,32,extended-sinnoh
75,35,updated-johto
75,10,kalos-mountain
75,59,updated-hoenn
75,230,original-alola
75,102,original-ulaula
75,299,updated-alola
75,120,updated-ulaula
75,75,letsgo-kanto
75,47,hisui
75,81,kitakami
75,97,blueberry
76,76,national
76,76,kanto
76,36,original-johto
76,59,hoenn
76,33,original-sinnoh
76,33,extended-sinnoh
76,36,updated-johto
76,11,kalos-mountain
76,60,updated-hoenn
76,231,original-alola
76,103,original-ulaula
76,300,updated-alola
76,121,updated-ulaula
76,76,letsgo-kanto
76,48,hisui
76,82,kitakami
76,98,blueberry
77,77,national
77,77,kanto
77,201,original-johto
77,90,original-sinnoh
77,90,extended-sinnoh
77,206,updated-johto
77,77,letsgo-kanto
77,333,galar
77,105,crown-tundra
77,23,hisui
78,78,national
78,78,kanto
78,202,original-johto
78,91,original-sinnoh
78,91,extended-sinnoh
78,207,updated-johto
78,78,letsgo-kanto
78,334,galar
78,106,crown-tundra
78,24,hisui
79,79,national
79,79,kanto
79,80,original-johto
79,80,updated-johto
79,133,kalos-coastal
79,37,original-alola
79,37,original-melemele
79,18,original-ulaula
79,44,updated-alola
79,44,updated-melemele
79,18,updated-ulaula
79,79,letsgo-kanto
79,1,isle-of-armor
79,324,paldea
79,75,blueberry
80,80,national
80,80,kanto
80,81,original-johto
80,81,updated-johto
80,134,kalos-coastal
80,38,original-alola
80,38,original-melemele
80,19,original-ulaula
80,45,updated-alola
80,45,updated-melemele
80,19,updated-ulaula
80,80,letsgo-kanto
80,2,isle-of-armor
80,325,paldea
80,76,blueberry
81,81,national
81,81,kanto
81,118,original-johto
81,82,hoenn
81,178,extended-sinnoh
81,119,updated-johto
81,48,updated-unova
81,69,kalos-mountain
81,84,updated-hoenn
81,47,original-alola
81,47,original-melemele
81,25,original-ulaula
81,54,updated-alola
81,54,updated-melemele
81,25,updated-ulaula
81,81,letsgo-kanto
81,105,isle-of-armor
81,177,hisui
81,209,paldea
81,116,blueberry
82,82,national
82,82,kanto
82,119,original-johto
82,83,hoenn
82,179,extended-sinnoh
82,120,updated-johto
82,49,updated-unova
82,70,kalos-mountain
82,85,updated-hoenn
82,48,original-alola
82,48,original-melemele
82,26,original-ulaula
82,55,updated-alola
82,55,updated-melemele
82,26,updated-ulaula
82,82,letsgo-kanto
82,106,isle-of-armor
82,178,hisui
82,210,paldea
82,117,blueberry
83,83,national
83,83,kanto
83,158,original-johto
83,160,updated-johto
83,61,kalos-central
83,83,letsgo-kanto
83,218,galar
84,84,national
84,84,kanto
84,199,original-johto
84,92,hoenn
84,204,updated-johto
84,94,kalos-central
84,95,updated-hoenn
84,84,letsgo-kanto
84,1,blueberry
85,85,national
85,85,kanto
85,200,original-johto
85,93,hoenn
85,205,updated-johto
85,95,kalos-central
85,96,updated-hoenn
85,85,letsgo-kanto
85,2,blueberry
86,86,national
86,86,kanto
86,176,original-johto
86,178,updated-johto
86,265,updated-unova
86,115,updated-alola
86,115,updated-melemele
86,86,letsgo-kanto
86,143,blueberry
87,87,national
87,87,kanto
87,177,original-johto
87,179,updated-johto
87,266,updated-unova
87,116,updated-alola
87,116,updated-melemele
87,87,letsgo-kanto
87,144,blueberry
88,88,national
88,88,kanto
88,116,original-johto
88,106,hoenn
88,117,updated-johto
88,64,updated-unova
88,111,updated-hoenn
88,50,original-alola
88,50,original-melemele
88,28,original-ulaula
88,57,updated-alola
88,57,updated-melemele
88,28,updated-ulaula
88,88,letsgo-kanto
88,194,paldea
88,68,blueberry
89,89,national
89,89,kanto
89,117,original-johto
89,107,hoenn
89,118,updated-johto
89,65,updated-unova
89,112,updated-hoenn
89,51,original-alola
89,51,original-melemele
89,29,original-ulaula
89,58,updated-alola
89,58,updated-melemele
89,29,updated-ulaula
89,89,letsgo-kanto
89,195,paldea
89,69,blueberry
90,90,national
90,90,kanto
90,169,original-johto
90,171,updated-johto
90,36,kalos-coastal
90,115,original-alola
90,115,original-melemele
90,138,updated-alola
90,138,updated-melemele
90,90,letsgo-kanto
90,150,galar
90,131,isle-of-armor
90,329,paldea
91,91,national
91,91,kanto
91,170,original-johto
91,172,updated-johto
91,37,kalos-coastal
91,116,original-alola
91,116,original-melemele
91,139,updated-alola
91,139,updated-melemele
91,91,letsgo-kanto
91,151,galar
91,132,isle-of-armor
91,330,paldea
92,92,national
92,92,kanto
92,58,original-johto
92,69,original-sinnoh
92,69,extended-sinnoh
92,58,updated-johto
92,112,conquest-gallery
92,30,kalos-mountain
92,61,original-alola
92,61,original-melemele
92,23,original-akala
92,32,original-ulaula
92,73,updated-alola
92,73,updated-melemele
92,23,updated-akala
92,32,updated-ulaula
92,92,letsgo-kanto
92,141,galar
92,136,hisui
92,68,paldea
92,118,kitakami
93,93,national
93,93,kanto
93,59,original-johto
93,70,original-sinnoh
93,70,extended-sinnoh
93,59,updated-johto
93,113,conquest-gallery
93,31,kalos-mountain
93,62,original-alola
93,62,original-melemele
93,24,original-akala
93,33,original-ulaula
93,74,updated-alola
93,74,updated-melemele
93,24,updated-akala
93,33,updated-ulaula
93,93,letsgo-kanto
93,142,galar
93,137,hisui
93,69,paldea
93,119,kitakami
94,94,national
94,94,kanto
94,60,original-johto
94,71,original-sinnoh
94,71,extended-sinnoh
94,60,updated-johto
94,114,conquest-gallery
94,32,kalos-mountain
94,63,original-alola
94,63,original-melemele
94,25,original-akala
94,34,original-ulaula
94,75,updated-alola
94,75,updated-melemele
94,25,updated-akala
94,34,updated-ulaula
94,94,letsgo-kanto
94,143,galar
94,138,hisui
94,70,paldea
94,120,kitakami
95,95,national
95,95,kanto
95,62,original-johto
95,34,original-sinnoh
95,34,extended-sinnoh
95,62,updated-johto
95,71,updated-unova
95,175,conquest-gallery
95,53,kalos-coastal
95,95,letsgo-kanto
95,178,galar
95,118,hisui
96,96,national
96,96,kanto
96,87,original-johto
96,87,updated-johto
96,54,original-alola
96,54,original-melemele
96,13,original-poni
96,66,updated-alola
96,66,updated-melemele
96,20,updated-poni
96,96,letsgo-kanto
96,66,paldea
97,97,national
97,97,kanto
97,88,original-johto
97,88,updated-johto
97,55,original-alola
97,55,original-melemele
97,14,original-poni
97,67,updated-alola
97,67,updated-melemele
97,21,updated-poni
97,97,letsgo-kanto
97,67,paldea
98,98,national
98,98,kanto
98,164,original-johto
98,166,updated-johto
98,98,letsgo-kanto
98,98,galar
98,38,isle-of-armor
99,99,national
99,99,kanto
99,165,original-johto
99,167,updated-johto
99,99,letsgo-kanto
99,99,galar
99,39,isle-of-armor
100,100,national
100,100,kanto
100,120,original-johto
100,84,hoenn
100,121,updated-johto
100,72,kalos-mountain
100,87,updated-hoenn
100,100,letsgo-kanto
100,192,hisui
100,207,paldea
101,101,national
101,101,kanto
101,121,original-johto
101,85,hoenn
101,122,updated-johto
101,73,kalos-mountain
101,88,updated-hoenn
101,101,letsgo-kanto
101,193,hisui
101,208,paldea
102,102,national
102,102,kanto
102,104,original-johto
102,105,updated-johto
102,136,kalos-coastal
102,269,original-alola
102,84,original-poni
102,355,updated-alola
102,102,updated-poni
102,102,letsgo-kanto
102,205,isle-of-armor
102,3,blueberry
103,103,national
103,103,kanto
103,105,original-johto
103,106,updated-johto
103,137,kalos-coastal
103,270,original-alola
103,85,original-poni
103,356,updated-alola
103,103,updated-poni
103,103,letsgo-kanto
103,206,isle-of-armor
103,4,blueberry
104,104,national
104,104,kanto
104,203,original-johto
104,208,updated-johto
104,60,kalos-coastal
104,163,original-alola
104,90,original-akala
104,197,updated-alola
104,98,updated-akala
104,104,letsgo-kanto
104,170,isle-of-armor
105,105,national
105,105,kanto
105,204,original-johto
105,209,updated-johto
105,61,kalos-coastal
105,164,original-alola
105,91,original-akala
105,198,updated-alola
105,99,updated-akala
105,105,letsgo-kanto
105,171,isle-of-armor
106,106,national
106,106,kanto
106,144,original-johto
106,146,updated-johto
106,106,letsgo-kanto
106,108,galar
106,93,blueberry
107,107,national
107,107,kanto
107,145,original-johto
107,147,updated-johto
107,107,letsgo-kanto
107,109,galar
107,94,blueberry
108,108,national
108,108,kanto
108,178,original-johto
108,161,extended-sinnoh
108,180,updated-johto
108,284,updated-unova
108,134,kalos-mountain
108,375,updated-alola
108,122,updated-poni
108,108,letsgo-kanto
108,54,isle-of-armor
108,125,hisui
109,109,national
109,109,kanto
109,114,original-johto
109,108,hoenn
109,115,updated-johto
109,46,updated-unova
109,113,updated-hoenn
109,109,letsgo-kanto
109,250,galar
109,135,kitakami
110,110,national
110,110,kanto
110,115,original-johto
110,109,hoenn
110,116,updated-johto
110,47,updated-unova
110,114,updated-hoenn
110,110,letsgo-kanto
110,251,galar
110,136,kitakami
111,111,national
111,111,kanto
111,206,original-johto
111,169,hoenn
111,186,extended-sinnoh
111,211,updated-johto
111,160,conquest-gallery
111,50,kalos-coastal
111,176,updated-hoenn
111,111,letsgo-kanto
111,264,galar
111,183,isle-of-armor
111,120,hisui
111,5,blueberry
112,112,national
112,112,kanto
112,207,original-johto
112,170,hoenn
112,187,extended-sinnoh
